;('BioWood_m', 'BioTransformer_m');('BioWood_m', 'Biomasse_elec_m');('BioWood_m', 'Biomasse_heat_m');('Import_Wood_m', 'BioWood_m')
;flow;flow;flow;flow
2030-01-01 00:00:00;57,01;0,0;0,0;57,01
2030-01-01 01:00:00;65,58;0,0;0,0;65,58
2030-01-01 02:00:00;73,43;0,0;0,0;73,43
2030-01-01 03:00:00;78,92;0,0;0,0;78,92
2030-01-01 04:00:00;83,98;0,0;0,0;83,98
2030-01-01 05:00:00;88,37;0,0;0,0;88,37
2030-01-01 06:00:00;92,21;0,0;0,0;92,21
2030-01-01 07:00:00;95,92;0,0;0,0;95,92
2030-01-01 08:00:00;99,61;0,0;0,0;99,61
2030-01-01 09:00:00;99,16;0,0;0,0;99,16
2030-01-01 10:00:00;96,55;0,0;0,0;96,55
2030-01-01 11:00:00;90,85;0,0;0,0;90,85
2030-01-01 12:00:00;85,38;0,0;0,0;85,38
2030-01-01 13:00:00;85,05;0,0;0,0;85,05
2030-01-01 14:00:00;86,52;0,0;0,0;86,52
2030-01-01 15:00:00;88,46;0,0;0,0;88,46
2030-01-01 16:00:00;87,4;0,0;0,0;87,4
2030-01-01 17:00:00;87,68;0,0;0,0;87,68
2030-01-01 18:00:00;88,28;0,0;0,0;88,28
2030-01-01 19:00:00;89,4;0,0;0,0;89,4
2030-01-01 20:00:00;90,12;0,0;0,0;90,12
2030-01-01 21:00:00;91,34;0,0;0,0;91,34
2030-01-01 22:00:00;92,62;0,0;0,0;92,62
2030-01-01 23:00:00;93,97;0,0;0,0;93,97
2030-01-02 00:00:00;94,87;0,0;0,0;94,87
2030-01-02 01:00:00;95,75;0,0;0,0;95,75
2030-01-02 02:00:00;96,14;0,0;0,0;96,14
2030-01-02 03:00:00;96,44;0,0;0,0;96,44
2030-01-02 04:00:00;96,69;0,0;0,0;96,69
2030-01-02 05:00:00;96,89;0,0;0,0;96,89
2030-01-02 06:00:00;97,05;0,0;0,0;97,05
2030-01-02 07:00:00;97,97;0,0;0,0;97,97
2030-01-02 08:00:00;99,26;0,0;0,0;99,26
2030-01-02 09:00:00;96,8;0,0;0,0;96,8
2030-01-02 10:00:00;90,64;0,0;0,0;90,64
2030-01-02 11:00:00;81,1;0,0;0,0;81,1
2030-01-02 12:00:00;74,33;0,0;0,0;74,33
2030-01-02 13:00:00;71,91;0,0;0,0;71,91
2030-01-02 14:00:00;73,95;0,0;0,0;73,95
2030-01-02 15:00:00;75,3;0,0;0,0;75,3
2030-01-02 16:00:00;73,79;0,0;0,0;73,79
2030-01-02 17:00:00;74,13;0,0;0,0;74,13
2030-01-02 18:00:00;74,94;0,0;0,0;74,94
2030-01-02 19:00:00;76,38;0,0;0,0;76,38
2030-01-02 20:00:00;77,99;0,0;0,0;77,99
2030-01-02 21:00:00;79,27;0,0;0,0;79,27
2030-01-02 22:00:00;81,09;0,0;0,0;81,09
2030-01-02 23:00:00;83,01;0,0;0,0;83,01
2030-01-03 00:00:00;85,5;0,0;0,0;85,5
2030-01-03 01:00:00;87,63;0,0;0,0;87,63
2030-01-03 02:00:00;90,78;0,0;0,0;90,78
2030-01-03 03:00:00;92,63;0,0;0,0;92,63
2030-01-03 04:00:00;94,43;0,0;0,0;94,43
2030-01-03 05:00:00;96,18;0,0;0,0;96,18
2030-01-03 06:00:00;97,9;0,0;0,0;97,9
2030-01-03 07:00:00;99,9;0,0;0,0;99,9
2030-01-03 08:00:00;101,25;0,0;0,0;101,25
2030-01-03 09:00:00;97,85;0,0;0,0;97,85
2030-01-03 10:00:00;92,54;0,0;0,0;92,54
2030-01-03 11:00:00;79,69;0,0;0,0;79,69
2030-01-03 12:00:00;73,97;0,0;0,0;73,97
2030-01-03 13:00:00;77,01;0,0;0,0;77,01
2030-01-03 14:00:00;80,69;0,0;0,0;80,69
