;('BioWood_n', 'BioTransformer_n');('BioWood_n', 'Biomasse_elec_n');('BioWood_n', 'Biomasse_heat_n');('Import_Wood_n', 'BioWood_n')
;flow;flow;flow;flow
2030-01-01 00:00:00;69,97;0,0;0,0;69,97
2030-01-01 01:00:00;78,98;0,0;0,0;78,98
2030-01-01 02:00:00;86,45;0,0;0,0;86,45
2030-01-01 03:00:00;92,65;0,0;0,0;92,65
2030-01-01 04:00:00;97,55;0,0;0,0;97,55
2030-01-01 05:00:00;101,9;0,0;0,0;101,9
2030-01-01 06:00:00;105,29;0,0;0,0;105,29
2030-01-01 07:00:00;108,62;0,0;0,0;108,62
2030-01-01 08:00:00;111,75;0,0;0,0;111,75
2030-01-01 09:00:00;113,16;0,0;0,0;113,16
2030-01-01 10:00:00;112,45;0,0;0,0;112,45
2030-01-01 11:00:00;109,52;0,0;0,0;109,52
2030-01-01 12:00:00;107,3;0,0;0,0;107,3
2030-01-01 13:00:00;107,64;0,0;0,0;107,64
2030-01-01 14:00:00;109,92;0,0;0,0;109,92
2030-01-01 15:00:00;111,36;0,0;0,0;111,36
2030-01-01 16:00:00;110,22;0,0;0,0;110,22
2030-01-01 17:00:00;109,86;0,0;0,0;109,86
2030-01-01 18:00:00;109,91;0,0;0,0;109,91
2030-01-01 19:00:00;109,96;0,0;0,0;109,96
2030-01-01 20:00:00;109,99;0,0;0,0;109,99
2030-01-01 21:00:00;109,72;0,0;0,0;109,72
2030-01-01 22:00:00;109,7;0,0;0,0;109,7
2030-01-01 23:00:00;109,69;0,0;0,0;109,69
2030-01-02 00:00:00;109,38;0,0;0,0;109,38
2030-01-02 01:00:00;109,34;0,0;0,0;109,34
2030-01-02 02:00:00;108,7;0,0;0,0;108,7
2030-01-02 03:00:00;108,0;0,0;0,0;108,0
2030-01-02 04:00:00;107,54;0,0;0,0;107,54
2030-01-02 05:00:00;107,08;0,0;0,0;107,08
2030-01-02 06:00:00;106,61;0,0;0,0;106,61
2030-01-02 07:00:00;106,64;0,0;0,0;106,64
2030-01-02 08:00:00;107,22;0,0;0,0;107,22
2030-01-02 09:00:00;106,17;0,0;0,0;106,17
2030-01-02 10:00:00;103,59;0,0;0,0;103,59
2030-01-02 11:00:00;99,67;0,0;0,0;99,67
2030-01-02 12:00:00;95,83;0,0;0,0;95,83
2030-01-02 13:00:00;94,67;0,0;0,0;94,67
2030-01-02 14:00:00;95,56;0,0;0,0;95,56
2030-01-02 15:00:00;95,99;0,0;0,0;95,99
2030-01-02 16:00:00;94,24;0,0;0,0;94,24
2030-01-02 17:00:00;94,28;0,0;0,0;94,28
2030-01-02 18:00:00;94,65;0,0;0,0;94,65
2030-01-02 19:00:00;95,44;0,0;0,0;95,44
2030-01-02 20:00:00;96,05;0,0;0,0;96,05
2030-01-02 21:00:00;96,74;0,0;0,0;96,74
2030-01-02 22:00:00;97,78;0,0;0,0;97,78
2030-01-02 23:00:00;98,6;0,0;0,0;98,6
2030-01-03 00:00:00;101,26;0,0;0,0;101,26
2030-01-03 01:00:00;104,46;0,0;0,0;104,46
2030-01-03 02:00:00;107,89;0,0;0,0;107,89
2030-01-03 03:00:00;110,3;0,0;0,0;110,3
2030-01-03 04:00:00;112,72;0,0;0,0;112,72
2030-01-03 05:00:00;114,84;0,0;0,0;114,84
2030-01-03 06:00:00;116,92;0,0;0,0;116,92
2030-01-03 07:00:00;119,18;0,0;0,0;119,18
2030-01-03 08:00:00;120,73;0,0;0,0;120,73
2030-01-03 09:00:00;115,65;0,0;0,0;115,65
2030-01-03 10:00:00;109,26;0,0;0,0;109,26
2030-01-03 11:00:00;100,89;0,0;0,0;100,89
2030-01-03 12:00:00;94,23;0,0;0,0;94,23
2030-01-03 13:00:00;92,0;0,0;0,0;92,0
2030-01-03 14:00:00;93,15;0,0;0,0;93,15
2030-01-03 15:00:00;95,95;0,0;0,0;95,95
2030-01-03 16:00:00;97,85;0,0;0,0;97,85
2030-01-03 17:00:00;99,8;0,0;0,0;99,8
2030-01-03 18:00:00;102,28;0,0;0,0;102,28
2030-01-03 19:00:00;104,85;0,0;0,0;104,85
2030-01-03 20:00:00;107,78;0,0;0,0;107,78
2030-01-03 21:00:00;110,52;0,0;0,0;110,52
2030-01-03 22:00:00;113,28;0,0;0,0;113,28
2030-01-03 23:00:00;116,08;0,0;0,0;116,08
2030-01-04 00:00:00;118,3;0,0;0,0;118,3
2030-01-04 01:00:00;121,08;0,0;0,0;121,08
2030-01-04 02:00:00;123,88;0,0;0,0;123,88
2030-01-04 03:00:00;125,8;0,0;0,0;125,8
2030-01-04 04:00:00;127,94;0,0;0,0;127,94
2030-01-04 05:00:00;130,04;0,0;0,0;130,04
2030-01-04 06:00:00;131,81;0,0;0,0;131,81
2030-01-04 07:00:00;134,02;0,0;0,0;134,02
2030-01-04 08:00:00;135,82;0,0;0,0;135,82
2030-01-04 09:00:00;131,97;0,0;0,0;131,97
2030-01-04 10:00:00;125,98;0,0;0,0;125,98
2030-01-04 11:00:00;118,38;0,0;0,0;118,38
2030-01-04 12:00:00;113,5;0,0;0,0;113,5
2030-01-04 13:00:00;111,81;0,0;0,0;111,81
2030-01-04 14:00:00;113,17;0,0;0,0;113,17
2030-01-04 15:00:00;115,91;0,0;0,0;115,91
2030-01-04 16:00:00;118,34;0,0;0,0;118,34
2030-01-04 17:00:00;118,06;0,0;0,0;118,06
2030-01-04 18:00:00;117,99;0,0;0,0;117,99
2030-01-04 19:00:00;118,05;0,0;0,0;118,05
2030-01-04 20:00:00;117,71;0,0;0,0;117,71
2030-01-04 21:00:00;117,24;0,0;0,0;117,24
2030-01-04 22:00:00;116,98;0,0;0,0;116,98
2030-01-04 23:00:00;116,37;0,0;0,0;116,37
2030-01-05 00:00:00;114,79;0,0;0,0;114,79
2030-01-05 01:00:00;113,04;0,0;0,0;113,04
2030-01-05 02:00:00;110,86;0,0;0,0;110,86
2030-01-05 03:00:00;109,43;0,0;0,0;109,43
2030-01-05 04:00:00;108,0;0,0;0,0;108,0
2030-01-05 05:00:00;106,27;0,0;0,0;106,27
2030-01-05 06:00:00;105,09;0,0;0,0;105,09
2030-01-05 07:00:00;103,65;0,0;0,0;103,65
2030-01-05 08:00:00;102,81;0,0;0,0;102,81
2030-01-05 09:00:00;99,93;0,0;0,0;99,93
2030-01-05 10:00:00;96,55;0,0;0,0;96,55
2030-01-05 11:00:00;91,46;0,0;0,0;91,46
2030-01-05 12:00:00;86,95;0,0;0,0;86,95
2030-01-05 13:00:00;83,44;0,0;0,0;83,44
2030-01-05 14:00:00;81,8;0,0;0,0;81,8
2030-01-05 15:00:00;81,54;0,0;0,0;81,54
2030-01-05 16:00:00;82,87;0,0;0,0;82,87
2030-01-05 17:00:00;81,88;0,0;0,0;81,88
2030-01-05 18:00:00;80,89;0,0;0,0;80,89
2030-01-05 19:00:00;79,9;0,0;0,0;79,9
2030-01-05 20:00:00;78,92;0,0;0,0;78,92
2030-01-05 21:00:00;77,94;0,0;0,0;77,94
2030-01-05 22:00:00;76,95;0,0;0,0;76,95
2030-01-05 23:00:00;75,97;0,0;0,0;75,97
2030-01-06 00:00:00;76,2;0,0;0,0;76,2
2030-01-06 01:00:00;76,87;0,0;0,0;76,87
2030-01-06 02:00:00;77,4;0,0;0,0;77,4
2030-01-06 03:00:00;77,71;0,0;0,0;77,71
2030-01-06 04:00:00;78,05;0,0;0,0;78,05
2030-01-06 05:00:00;78,42;0,0;0,0;78,42
2030-01-06 06:00:00;78,81;0,0;0,0;78,81
2030-01-06 07:00:00;78,92;0,0;0,0;78,92
2030-01-06 08:00:00;78,71;0,0;0,0;78,71
2030-01-06 09:00:00;73,11;0,0;0,0;73,11
2030-01-06 10:00:00;66,12;0,0;0,0;66,12
2030-01-06 11:00:00;58,84;0,0;0,0;58,84
2030-01-06 12:00:00;52,98;0,0;0,0;52,98
2030-01-06 13:00:00;48,77;0,0;0,0;48,77
2030-01-06 14:00:00;47,92;0,0;0,0;47,92
2030-01-06 15:00:00;49,36;0,0;0,0;49,36
2030-01-06 16:00:00;52,87;0,0;0,0;52,87
2030-01-06 17:00:00;54,29;0,0;0,0;54,29
2030-01-06 18:00:00;55,52;0,0;0,0;55,52
2030-01-06 19:00:00;56,79;0,0;0,0;56,79
2030-01-06 20:00:00;58,4;0,0;0,0;58,4
2030-01-06 21:00:00;59,77;0,0;0,0;59,77
2030-01-06 22:00:00;61,16;0,0;0,0;61,16
2030-01-06 23:00:00;62,87;0,0;0,0;62,87
2030-01-07 00:00:00;64,63;0,0;0,0;64,63
2030-01-07 01:00:00;66,72;0,0;0,0;66,72
2030-01-07 02:00:00;68,58;0,0;0,0;68,58
2030-01-07 03:00:00;70,16;0,0;0,0;70,16
2030-01-07 04:00:00;71,41;0,0;0,0;71,41
2030-01-07 05:00:00;72,91;0,0;0,0;72,91
2030-01-07 06:00:00;73,8;0,0;0,0;73,8
2030-01-07 07:00:00;75,41;0,0;0,0;75,41
2030-01-07 08:00:00;76,95;0,0;0,0;76,95
2030-01-07 09:00:00;78,88;0,0;0,0;78,88
2030-01-07 10:00:00;79,46;0,0;0,0;79,46
2030-01-07 11:00:00;77,33;0,0;0,0;77,33
2030-01-07 12:00:00;76,12;0,0;0,0;76,12
2030-01-07 13:00:00;72,64;0,0;0,0;72,64
2030-01-07 14:00:00;72,06;0,0;0,0;72,06
2030-01-07 15:00:00;71,66;0,0;0,0;71,66
2030-01-07 16:00:00;70,46;0,0;0,0;70,46
2030-01-07 17:00:00;70,46;0,0;0,0;70,46
2030-01-07 18:00:00;71,3;0,0;0,0;71,3
2030-01-07 19:00:00;71,96;0,0;0,0;71,96
2030-01-07 20:00:00;72,98;0,0;0,0;72,98
2030-01-07 21:00:00;73,78;0,0;0,0;73,78
2030-01-07 22:00:00;74,92;0,0;0,0;74,92
2030-01-07 23:00:00;75,82;0,0;0,0;75,82
2030-01-08 00:00:00;76,43;0,0;0,0;76,43
2030-01-08 01:00:00;77,02;0,0;0,0;77,02
2030-01-08 02:00:00;77,59;0,0;0,0;77,59
2030-01-08 03:00:00;78,14;0,0;0,0;78,14
2030-01-08 04:00:00;78,38;0,0;0,0;78,38
2030-01-08 05:00:00;78,58;0,0;0,0;78,58
2030-01-08 06:00:00;79,03;0,0;0,0;79,03
2030-01-08 07:00:00;79,69;0,0;0,0;79,69
2030-01-08 08:00:00;80,57;0,0;0,0;80,57
2030-01-08 09:00:00;81,28;0,0;0,0;81,28
2030-01-08 10:00:00;80,88;0,0;0,0;80,88
2030-01-08 11:00:00;78,38;0,0;0,0;78,38
2030-01-08 12:00:00;76,88;0,0;0,0;76,88
2030-01-08 13:00:00;68,83;0,0;0,0;68,83
2030-01-08 14:00:00;66,16;0,0;0,0;66,16
2030-01-08 15:00:00;66,14;0,0;0,0;66,14
2030-01-08 16:00:00;65,34;0,0;0,0;65,34
2030-01-08 17:00:00;64,5;0,0;0,0;64,5
2030-01-08 18:00:00;64,47;0,0;0,0;64,47
2030-01-08 19:00:00;64,55;0,0;0,0;64,55
2030-01-08 20:00:00;64,4;0,0;0,0;64,4
2030-01-08 21:00:00;64,58;0,0;0,0;64,58
2030-01-08 22:00:00;64,82;0,0;0,0;64,82
2030-01-08 23:00:00;64,81;0,0;0,0;64,81
2030-01-09 00:00:00;65,4;0,0;0,0;65,4
2030-01-09 01:00:00;66,36;0,0;0,0;66,36
2030-01-09 02:00:00;66,82;0,0;0,0;66,82
2030-01-09 03:00:00;67,59;0,0;0,0;67,59
2030-01-09 04:00:00;68,1;0,0;0,0;68,1
2030-01-09 05:00:00;68,6;0,0;0,0;68,6
2030-01-09 06:00:00;69,1;0,0;0,0;69,1
2030-01-09 07:00:00;70,4;0,0;0,0;70,4
2030-01-09 08:00:00;71,68;0,0;0,0;71,68
2030-01-09 09:00:00;73,7;0,0;0,0;73,7
2030-01-09 10:00:00;73,54;0,0;0,0;73,54
2030-01-09 11:00:00;71,54;0,0;0,0;71,54
2030-01-09 12:00:00;70,53;0,0;0,0;70,53
2030-01-09 13:00:00;71,41;0,0;0,0;71,41
2030-01-09 14:00:00;73,72;0,0;0,0;73,72
2030-01-09 15:00:00;74,27;0,0;0,0;74,27
2030-01-09 16:00:00;71,83;0,0;0,0;71,83
2030-01-09 17:00:00;70,65;0,0;0,0;70,65
2030-01-09 18:00:00;69,55;0,0;0,0;69,55
2030-01-09 19:00:00;68,68;0,0;0,0;68,68
2030-01-09 20:00:00;67,79;0,0;0,0;67,79
2030-01-09 21:00:00;67,18;0,0;0,0;67,18
2030-01-09 22:00:00;65,7;0,0;0,0;65,7
2030-01-09 23:00:00;64,42;0,0;0,0;64,42
2030-01-10 00:00:00;63,41;0,0;0,0;63,41
2030-01-10 01:00:00;62,41;0,0;0,0;62,41
2030-01-10 02:00:00;61,41;0,0;0,0;61,41
2030-01-10 03:00:00;60,72;0,0;0,0;60,72
2030-01-10 04:00:00;59,76;0,0;0,0;59,76
2030-01-10 05:00:00;59,1;0,0;0,0;59,1
2030-01-10 06:00:00;58,78;0,0;0,0;58,78
2030-01-10 07:00:00;58,42;0,0;0,0;58,42
2030-01-10 08:00:00;58,88;0,0;0,0;58,88
2030-01-10 09:00:00;58,35;0,0;0,0;58,35
2030-01-10 10:00:00;54,86;0,0;0,0;54,86
2030-01-10 11:00:00;50,83;0,0;0,0;50,83
2030-01-10 12:00:00;48,11;0,0;0,0;48,11
2030-01-10 13:00:00;47,93;0,0;0,0;47,93
2030-01-10 14:00:00;49,29;0,0;0,0;49,29
2030-01-10 15:00:00;49,59;0,0;0,0;49,59
2030-01-10 16:00:00;47,64;0,0;0,0;47,64
2030-01-10 17:00:00;47,43;0,0;0,0;47,43
2030-01-10 18:00:00;47,2;0,0;0,0;47,2
2030-01-10 19:00:00;47,61;0,0;0,0;47,61
2030-01-10 20:00:00;47,53;0,0;0,0;47,53
2030-01-10 21:00:00;47,76;0,0;0,0;47,76
