;('Biogas_e', 'District heating_e');('Biomasse_heat_e', 'District heating_e');('District heating_e', 'Heat storage_e');('District heating_e', 'Heat_demand_total_e');('District heating_e', 'excess_b_distheat_e');('Electric boiler_e', 'District heating_e');('GuD_e', 'District heating_e');('Heat storage_e', 'District heating_e');('Heatpump_air_e', 'District heating_e');('Heatpump_water_e', 'District heating_e');('ST_e', 'District heating_e')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;0,0;0,0;43,01;51,54;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 01:00:00;0,0;0,0;36,14;58,41;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 02:00:00;0,0;0,0;29,65;64,9;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 03:00:00;0,0;0,0;24,85;69,7;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 04:00:00;0,0;0,0;20,85;73,7;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 05:00:00;0,0;0,0;17,08;77,47;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 06:00:00;0,0;0,0;14,2;80,36;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 07:00:00;0,0;0,0;11,48;83,08;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 08:00:00;0,0;0,0;8,81;85,74;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 09:00:00;0,0;0,0;7,51;87,04;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 10:00:00;0,0;0,0;8,86;85,7;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 11:00:00;0,0;0,0;13,88;80,67;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 12:00:00;0,0;0,0;17,08;77,47;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 13:00:00;0,0;0,0;17,01;77,55;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 14:00:00;0,0;0,0;12,56;82,0;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 15:00:00;0,0;0,0;10,21;84,34;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 16:00:00;0,0;0,0;12,13;82,42;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 17:00:00;0,0;0,0;12,24;82,32;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 18:00:00;0,0;0,0;11,3;83,25;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 19:00:00;0,0;0,0;10,29;84,26;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 20:00:00;0,0;0,0;9,22;85,34;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 21:00:00;0,0;0,0;8,09;86,46;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 22:00:00;0,0;0,0;6,92;87,63;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-01 23:00:00;0,0;0,0;5,72;88,84;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-02 00:00:00;0,0;0,0;4,49;90,07;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-02 01:00:00;0,0;0,0;3,23;91,32;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-02 02:00:00;0,0;0,0;1,96;92,59;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-02 03:00:00;0,0;0,0;1,09;93,47;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-02 04:00:00;0,0;0,0;0,25;94,3;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-02 05:00:00;0,0;0,0;0,0;95,1;0,0;0,0;94,55;0,55;0,0;0,0;0,0
2030-01-02 06:00:00;0,0;0,0;0,0;95,88;0,0;0,0;94,55;1,33;0,0;0,0;0,0
2030-01-02 07:00:00;0,0;0,0;0,0;96,9;0,0;0,0;94,55;2,35;0,0;0,0;0,0
2030-01-02 08:00:00;0,0;0,0;0,0;98,19;0,0;0,0;94,55;3,64;0,0;0,0;0,0
2030-01-02 09:00:00;0,0;0,0;0,0;94,76;0,0;0,0;94,55;0,21;0,0;0,0;0,0
2030-01-02 10:00:00;0,0;0,0;2,27;92,28;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-02 11:00:00;0,0;0,0;7,02;87,53;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-02 12:00:00;0,0;0,0;13,72;80,83;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-02 13:00:00;0,0;0,0;13,48;81,07;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-02 14:00:00;0,0;0,0;13,46;81,1;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-02 15:00:00;0,0;0,0;13,67;80,88;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-02 16:00:00;0,0;0,0;14,79;79,77;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-02 17:00:00;0,0;0,0;14,05;80,5;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-02 18:00:00;0,0;0,0;12,47;82,08;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-02 19:00:00;0,0;0,0;10,67;83,88;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-02 20:00:00;0,0;0,0;8,29;86,27;0,0;0,0;94,55;0,0;0,0;0,0;0,0
2030-01-02 21:00:00;0,0;0,0;6,12;88,43;0,0;0,0;94,55;0,0;0,0;0,0;0,0
