;('Biogas_m', 'District heating_m');('Biomasse_heat_m', 'District heating_m');('District heating_m', 'Heat storage_m');('District heating_m', 'Heat_demand_total_m');('District heating_m', 'excess_b_distheat_m');('Electric boiler_m', 'District heating_m');('GuD_m', 'District heating_m');('Heat storage_m', 'District heating_m');('Heatpump_air_m', 'District heating_m');('Heatpump_water_m', 'District heating_m');('ST_m', 'District heating_m')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;0,0;0,0;50,65;42,6;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 01:00:00;0,0;0,0;44,25;49,01;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 02:00:00;0,0;0,0;38,38;54,87;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 03:00:00;0,0;0,0;34,28;58,97;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 04:00:00;0,0;0,0;30,5;62,75;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 05:00:00;0,0;0,0;27,22;66,03;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 06:00:00;0,0;0,0;24,35;68,9;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 07:00:00;0,0;0,0;21,58;71,68;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 08:00:00;0,0;0,0;18,82;74,44;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 09:00:00;0,0;0,0;19,15;74,1;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 10:00:00;0,0;0,0;21,11;72,14;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 11:00:00;0,0;0,0;25,37;67,89;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 12:00:00;0,0;0,0;29,45;63,8;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 13:00:00;0,0;0,0;29,7;63,56;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 14:00:00;0,0;0,0;28,6;64,65;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 15:00:00;0,0;0,0;27,15;66,1;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 16:00:00;0,0;0,0;27,94;65,31;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 17:00:00;0,0;0,0;27,73;65,52;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 18:00:00;0,0;0,0;27,29;65,97;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 19:00:00;0,0;0,0;26,45;66,8;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 20:00:00;0,0;0,0;25,91;67,34;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 21:00:00;0,0;0,0;25,0;68,25;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 22:00:00;0,0;0,0;24,04;69,21;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-01 23:00:00;0,0;0,0;23,04;70,22;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 00:00:00;0,0;0,0;22,36;70,89;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 01:00:00;0,0;0,0;21,7;71,55;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 02:00:00;0,0;0,0;21,42;71,84;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 03:00:00;0,0;0,0;21,19;72,07;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 04:00:00;0,0;0,0;8,12;72,25;0,0;0,0;80,38;0,0;0,0;0,0;0,0
2030-01-02 05:00:00;0,0;0,0;20,85;72,4;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 06:00:00;0,0;0,0;20,73;72,52;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 07:00:00;0,0;0,0;20,04;73,21;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 08:00:00;0,0;0,0;19,08;74,18;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 09:00:00;0,0;0,0;20,92;72,34;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 10:00:00;0,0;0,0;25,52;67,73;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 11:00:00;0,0;0,0;32,65;60,6;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 12:00:00;0,0;0,0;37,71;55,55;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 13:00:00;0,0;0,0;39,52;53,73;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 14:00:00;0,0;0,0;37,99;55,26;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 15:00:00;0,0;0,0;36,98;56,27;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 16:00:00;0,0;0,0;38,12;55,14;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 17:00:00;0,0;0,0;37,86;55,4;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 18:00:00;0,0;0,0;37,26;56,0;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 19:00:00;0,0;0,0;36,18;57,07;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 20:00:00;0,0;0,0;34,97;58,28;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 21:00:00;0,0;0,0;34,02;59,23;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 22:00:00;0,0;0,0;32,66;60,59;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-02 23:00:00;0,0;0,0;31,22;62,03;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-03 00:00:00;0,0;0,0;29,36;63,89;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-03 01:00:00;0,0;0,0;27,77;65,49;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-03 02:00:00;0,0;0,0;25,42;67,84;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-03 03:00:00;0,0;0,0;24,04;69,22;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-03 04:00:00;0,0;0,0;22,69;70,56;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-03 05:00:00;0,0;0,0;21,38;71,87;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-03 06:00:00;0,0;0,0;20,1;73,16;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-03 07:00:00;0,0;0,0;18,6;74,65;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-03 08:00:00;0,0;0,0;17,59;75,66;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-03 09:00:00;0,0;0,0;20,14;73,12;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-03 10:00:00;0,0;0,0;24,1;69,15;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-03 11:00:00;0,0;0,0;33,71;59,55;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-03 12:00:00;0,0;0,0;37,98;55,28;0,0;0,0;93,25;0,0;0,0;0,0;0,0
2030-01-03 13:00:00;0,0;0,0;35,7;57,55;0,0;0,0;93,25;0,0;0,0;0,0;0,0
