;('Biogas_n', 'District heating_n');('Biomasse_heat_n', 'District heating_n');('District heating_n', 'Heat storage_n');('District heating_n', 'Heat_demand_total_n');('District heating_n', 'excess_b_distheat_n');('Electric boiler_n', 'District heating_n');('GuD_n', 'District heating_n');('Heat storage_n', 'District heating_n');('Heatpump_air_n', 'District heating_n');('Heatpump_water_n', 'District heating_n');('ST_n', 'District heating_n')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;0,0;0,0;0,0;52,28;0,0;0,0;52,01;0,28;0,0;0,0;0,0
2030-01-01 01:00:00;0,0;0,0;0,0;59,02;0,0;0,0;52,01;7,01;0,0;0,0;0,0
2030-01-01 02:00:00;0,0;0,0;0,0;64,6;0,0;0,0;52,01;12,59;0,0;0,0;0,0
2030-01-01 03:00:00;0,0;0,0;0,0;69,24;0,0;0,0;52,01;17,23;0,0;0,0;0,0
2030-01-01 04:00:00;0,0;0,0;0,0;72,89;0,0;0,0;52,01;20,88;0,0;0,0;0,0
2030-01-01 05:00:00;0,0;0,0;0,0;76,14;0,0;0,0;52,01;24,13;0,0;0,0;0,0
2030-01-01 06:00:00;0,0;0,0;0,0;78,68;0,0;0,0;52,01;26,67;0,0;0,0;0,0
2030-01-01 07:00:00;0,0;0,0;0,0;81,17;0,0;0,0;52,01;29,16;0,0;0,0;0,0
2030-01-01 08:00:00;0,0;0,0;0,0;83,51;0,0;0,0;52,01;31,5;0,0;0,0;0,0
2030-01-01 09:00:00;0,0;0,0;0,0;84,56;0,0;0,0;52,01;32,55;0,0;0,0;0,0
2030-01-01 10:00:00;0,0;0,0;0,0;84,03;0,0;0,0;52,01;32,02;0,0;0,0;0,0
2030-01-01 11:00:00;0,0;0,0;0,0;81,84;0,0;0,0;52,01;29,83;0,0;0,0;0,0
2030-01-01 12:00:00;0,0;0,0;0,0;80,18;0,0;0,0;52,01;28,17;0,0;0,0;0,0
