;('Biogas_s', 'District heating_s');('Biomasse_heat_s', 'District heating_s');('District heating_s', 'Heat storage_s');('District heating_s', 'Heat_demand_total_s');('District heating_s', 'excess_b_distheat_s');('Electric boiler_s', 'District heating_s');('GuD_s', 'District heating_s');('Heat storage_s', 'District heating_s');('Heatpump_air_s', 'District heating_s');('Heatpump_water_s', 'District heating_s');('ST_s', 'District heating_s')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;0,0;0,0;6,13;58,07;0,0;0,0;64,2;0,0;0,0;0,0;0,0
2030-01-01 01:00:00;0,0;0,0;0,0;65,56;0,0;0,0;64,2;1,36;0,0;0,0;0,0
2030-01-01 02:00:00;0,0;0,0;0,0;71,99;0,0;0,0;64,2;7,79;0,0;0,0;0,0
2030-01-01 03:00:00;0,0;0,0;0,0;76,92;0,0;0,0;64,2;12,72;0,0;0,0;0,0
2030-01-01 04:00:00;0,0;0,0;0,0;80,97;0,0;0,0;64,2;16,77;0,0;0,0;0,0
2030-01-01 05:00:00;0,0;0,0;0,0;84,56;0,0;0,0;64,2;20,36;0,0;0,0;0,0
2030-01-01 06:00:00;0,0;0,0;0,0;87,36;0,0;0,0;64,2;23,16;0,0;0,0;0,0
2030-01-01 07:00:00;0,0;0,0;0,0;90,09;0,0;0,0;64,2;25,89;0,0;0,0;0,0
2030-01-01 08:00:00;0,0;0,0;0,0;92,64;0,0;0,0;64,2;28,44;0,0;0,0;0,0
2030-01-01 09:00:00;0,0;0,0;0,0;93,81;0,0;0,0;64,2;29,61;0,0;0,0;0,0
2030-01-01 10:00:00;0,0;0,0;0,0;93,54;0,0;0,0;64,2;29,34;0,0;0,0;0,0
2030-01-01 11:00:00;0,0;0,0;0,0;91,29;0,0;0,0;64,2;27,09;0,0;0,0;0,0
2030-01-01 12:00:00;0,0;0,0;0,0;89,82;0,0;0,0;64,2;25,62;0,0;0,0;0,0
2030-01-01 13:00:00;0,0;0,0;0,0;90,16;0,0;0,0;64,2;25,96;0,0;0,0;0,0
