;('Electricity_HS', 'HS<->East');('Electricity_HS', 'HS<->Middle');('Electricity_HS', 'HS<->North');('Electricity_HS', 'HS<->Swest');('Electricity_HS', 'HöS<->HS');('HS<->East', 'Electricity_HS');('HS<->Middle', 'Electricity_HS');('HS<->North', 'Electricity_HS');('HS<->Swest', 'Electricity_HS');('HöS<->HS', 'Electricity_HS')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;0,0;164,16;67,02;300,0;0,0;0,0;0,0;0,0;0,0;531,18
2030-01-01 01:00:00;147,41;173,2;87,63;300,0;0,0;0,0;0,0;0,0;0,0;708,25
2030-01-01 02:00:00;172,26;183,61;99,67;300,0;0,0;0,0;0,0;0,0;0,0;755,55
2030-01-01 03:00:00;142,62;176,24;92,13;300,0;0,0;0,0;0,0;0,0;0,0;710,99
2030-01-01 04:00:00;159,04;176,87;92,48;300,0;0,0;0,0;0,0;0,0;0,0;728,39
2030-01-01 05:00:00;136,54;192,46;94,83;300,0;0,0;0,0;0,0;0,0;0,0;723,83
2030-01-01 06:00:00;0,0;202,0;106,48;300,0;0,0;0,0;0,0;0,0;0,0;608,48
2030-01-01 07:00:00;0,0;166,6;70,26;0,0;0,0;0,0;0,0;0,0;0,0;236,85
2030-01-01 08:00:00;0,0;21,07;0,0;0,0;0,0;0,0;0,0;0,0;0,0;21,07
2030-01-01 09:00:00;0,0;0,0;0,0;54,11;0,0;54,11;0,0;0,0;0,0;0,0
2030-01-01 10:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 11:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 12:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 13:00:00;0,0;0,0;0,0;18,94;0,0;18,94;0,0;0,0;0,0;0,0
2030-01-01 14:00:00;0,0;0,0;0,0;76,53;0,0;0,0;0,0;0,0;0,0;76,53
2030-01-01 15:00:00;0,0;0,0;0,0;69,12;0,0;69,12;0,0;0,0;0,0;0,0
2030-01-01 16:00:00;0,0;0,0;0,0;38,44;0,0;38,44;0,0;0,0;0,0;0,0
2030-01-01 17:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 18:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 19:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2030-01-01 20:00:00;0,0;15,4;0,0;0,0;0,0;9,06;0,0;6,34;0,0;0,0
