;('Electricity_HöS', 'HöS<->HS');('HöS<->HS', 'Electricity_HöS');('Import_electricity', 'Electricity_HöS')
;flow;flow;flow
2030-01-01 00:00:00;531,18;0,0;531,18
2030-01-01 01:00:00;708,25;0,0;708,25
2030-01-01 02:00:00;755,55;0,0;755,55
2030-01-01 03:00:00;710,99;0,0;710,99
2030-01-01 04:00:00;728,39;0,0;728,39
2030-01-01 05:00:00;723,83;0,0;723,83
2030-01-01 06:00:00;608,48;0,0;608,48
2030-01-01 07:00:00;236,85;0,0;236,85
2030-01-01 08:00:00;21,07;0,0;21,07
2030-01-01 09:00:00;0,0;0,0;0,0
2030-01-01 10:00:00;0,0;0,0;0,0
2030-01-01 11:00:00;0,0;0,0;0,0
2030-01-01 12:00:00;0,0;0,0;0,0
2030-01-01 13:00:00;0,0;0,0;0,0
2030-01-01 14:00:00;76,53;0,0;76,53
2030-01-01 15:00:00;0,0;0,0;0,0
2030-01-01 16:00:00;0,0;0,0;0,0
2030-01-01 17:00:00;0,0;0,0;0,0
2030-01-01 18:00:00;0,0;0,0;0,0
2030-01-01 19:00:00;0,0;0,0;0,0
2030-01-01 20:00:00;0,0;0,0;0,0
2030-01-01 21:00:00;0,0;0,0;0,0
2030-01-01 22:00:00;0,0;0,0;0,0
2030-01-01 23:00:00;536,84;0,0;536,84
2030-01-02 00:00:00;546,83;0,0;546,83
2030-01-02 01:00:00;89,29;0,0;89,29
2030-01-02 02:00:00;0,0;0,0;0,0
2030-01-02 03:00:00;0,0;0,0;0,0
2030-01-02 04:00:00;0,0;0,0;0,0
2030-01-02 05:00:00;0,0;0,0;0,0
2030-01-02 06:00:00;0,0;0,0;0,0
2030-01-02 07:00:00;197,26;0,0;197,26
2030-01-02 08:00:00;170,09;0,0;170,09
2030-01-02 09:00:00;78,16;0,0;78,16
2030-01-02 10:00:00;0,0;0,0;0,0
2030-01-02 11:00:00;0,0;0,0;0,0
2030-01-02 12:00:00;0,0;0,0;0,0
2030-01-02 13:00:00;0,0;0,0;0,0
2030-01-02 14:00:00;0,0;0,0;0,0
2030-01-02 15:00:00;0,0;0,0;0,0
2030-01-02 16:00:00;63,4;0,0;63,4
2030-01-02 17:00:00;0,0;0,0;0,0
2030-01-02 18:00:00;255,39;0,0;255,39
2030-01-02 19:00:00;56,54;0,0;56,54
2030-01-02 20:00:00;997,61;0,0;997,61
2030-01-02 21:00:00;1157,82;0,0;1157,82
2030-01-02 22:00:00;1228,03;0,0;1228,03
2030-01-02 23:00:00;1170,12;0,0;1170,12
2030-01-03 00:00:00;1037,73;0,0;1037,73
2030-01-03 01:00:00;1387,41;0,0;1387,41
2030-01-03 02:00:00;1387,0;0,0;1387,0
2030-01-03 03:00:00;2183,74;0,0;2183,74
2030-01-03 04:00:00;1461,24;0,0;1461,24
2030-01-03 05:00:00;1302,06;0,0;1302,06
2030-01-03 06:00:00;1470,97;0,0;1470,97
2030-01-03 07:00:00;1795,12;0,0;1795,12
2030-01-03 08:00:00;506,85;0,0;506,85
2030-01-03 09:00:00;703,64;0,0;703,64
2030-01-03 10:00:00;1779,5;0,0;1779,5
2030-01-03 11:00:00;1491,44;0,0;1491,44
2030-01-03 12:00:00;774,23;0,0;774,23
