;('Battery_e', 'Electricity_e');('Biogas_e', 'Electricity_e');('Biomasse_elec_e', 'Electricity_e');('East<->Middel', 'Electricity_e');('Electricity_e', 'Battery_e');('Electricity_e', 'East<->Middel');('Electricity_e', 'Electric boiler_e');('Electricity_e', 'Electricity_demand_total_e');('Electricity_e', 'Electrolysis_e');('Electricity_e', 'Export_Electricity_e');('Electricity_e', 'HS<->East');('Electricity_e', 'Heatpump_air_e');('Electricity_e', 'Heatpump_water_e');('Electricity_e', 'Pumped_hydro_storage_e');('Electricity_e', 'excess_b_el_e');('Fuelcell_e', 'Electricity_e');('GuD_e', 'Electricity_e');('HS<->East', 'Electricity_e');('Hydro power plant_e', 'Electricity_e');('PV_open_e', 'Electricity_e');('PV_rooftop_e', 'Electricity_e');('Pumped_hydro_storage_e', 'Electricity_e');('Wind_e', 'Electricity_e')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;357,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;77,68;180,57
2030-01-01 01:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;332,93;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;147,41;0,0;0,0;0,0;0,0;86,57
2030-01-01 02:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;331,66;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;172,26;0,0;0,0;0,0;0,0;60,44
2030-01-01 03:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;338,93;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;142,62;0,0;0,0;0,0;0,0;97,36
2030-01-01 04:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;346,57;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;159,04;0,0;0,0;0,0;0,0;88,58
2030-01-01 05:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;376,26;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;136,54;0,0;0,0;0,0;13,61;127,17
2030-01-01 06:00:00;24,5;0,0;0,0;0,0;0,0;0,0;0,0;375,96;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;165,5;87,01
2030-01-01 07:00:00;113,51;0,0;0,0;0,0;0,0;0,0;0,0;397,92;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;185,46
2030-01-01 08:00:00;148,75;0,0;0,0;0,0;0,0;0,0;0,0;439,62;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;0,0;0,0;0,0;191,92
2030-01-01 09:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;476,36;214,22;0,0;54,11;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;3,51;0,0;0,0;642,23
2030-01-01 10:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;498,32;76,13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;2,11;0,0;0,0;473,39
2030-01-01 11:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;486,49;8,83;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;5,9;0,0;0,0;390,47
2030-01-01 12:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;459,31;191,86;0,0;0,0;0,0;0,0;0,0;0,0;0,0;98,95;0,0;0,0;12,52;0,0;0,0;539,7
2030-01-01 13:00:00;0,0;0,0;0,0;0,0;159,31;0,0;0,0;448,31;214,22;0,0;18,94;0,0;0,0;9,75;0,0;0,0;98,95;0,0;0,0;10,4;0,0;0,0;741,18
2030-01-01 14:00:00;0,0;0,0;0,0;0,0;20,45;0,0;0,0;470,63;214,22;0,0;0,0;0,0;0,0;56,5;0,0;0,0;98,95;0,0;0,0;15,91;0,0;0,0;646,94
