;('Battery_m', 'Electricity_m');('Biogas_m', 'Electricity_m');('Biomasse_elec_m', 'Electricity_m');('East<->Middel', 'Electricity_m');('Electricity_m', 'Battery_m');('Electricity_m', 'East<->Middel');('Electricity_m', 'Electric boiler_m');('Electricity_m', 'Electricity_demand_total_m');('Electricity_m', 'Electrolysis_m');('Electricity_m', 'Export_Electricity_m');('Electricity_m', 'HS<->Middle');('Electricity_m', 'Heatpump_air_m');('Electricity_m', 'Heatpump_water_m');('Electricity_m', 'Middel<->Swest');('Electricity_m', 'North<->Middel');('Electricity_m', 'Pumped_hydro_storage_m');('Electricity_m', 'excess_b_el_m');('Fuelcell_m', 'Electricity_m');('GuD_m', 'Electricity_m');('HS<->Middle', 'Electricity_m');('Hydro power plant_m', 'Electricity_m');('Middel<->Swest', 'Electricity_m');('North<->Middel', 'Electricity_m');('PV_open_m', 'Electricity_m');('PV_rooftop_m', 'Electricity_m');('Pumped_hydro_storage_m', 'Electricity_m');('Wind_m', 'Electricity_m')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;323,64;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;97,59;164,16;0,0;0,0;0,0;0,0;0,0;0,0;61,89
2030-01-01 01:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;295,17;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;97,59;173,2;0,0;0,0;0,0;0,0;0,0;0,0;24,37
2030-01-01 02:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;292,48;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;97,59;183,61;0,0;0,0;0,0;0,0;0,0;0,0;11,28
2030-01-01 03:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;298,49;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;97,59;176,24;0,0;0,0;0,0;0,0;0,0;0,0;24,66
2030-01-01 04:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;305,46;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;97,59;176,87;0,0;0,0;0,0;0,0;0,0;0,0;31,0
2030-01-01 05:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;332,21;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;97,59;192,46;0,0;0,0;0,0;0,0;0,0;0,0;42,15
2030-01-01 06:00:00;0,0;0,0;0,0;0,0;0,0;0,0;0,0;330,22;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;97,59;202,0;0,0;0,0;0,0;0,0;0,0;0,0;30,62
2030-01-01 07:00:00;9,3;0,0;0,0;0,0;0,0;0,0;0,0;352,11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;97,59;166,6;0,0;0,0;0,0;0,0;0,0;0,0;78,63
2030-01-01 08:00:00;191,66;0,0;0,0;0,0;0,0;0,0;0,0;394,45;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;97,59;21,07;0,0;0,0;0,0;0,0;0,0;0,0;84,14
