;('Battery_n', 'Electricity_n');('Biogas_n', 'Electricity_n');('Biomasse_elec_n', 'Electricity_n');('Electricity_n', 'Battery_n');('Electricity_n', 'Electric boiler_n');('Electricity_n', 'Electricity_demand_total_n');('Electricity_n', 'Electrolysis_n');('Electricity_n', 'Export_Electricity_n');('Electricity_n', 'HS<->North');('Electricity_n', 'Heatpump_air_n');('Electricity_n', 'Heatpump_water_n');('Electricity_n', 'North<->Middel');('Electricity_n', 'Pumped_hydro_storage_n');('Electricity_n', 'excess_b_el_n');('Fuelcell_n', 'Electricity_n');('GuD_n', 'Electricity_n');('HS<->North', 'Electricity_n');('Hydro power plant_n', 'Electricity_n');('North<->Middel', 'Electricity_n');('PV_open_n', 'Electricity_n');('PV_rooftop_n', 'Electricity_n');('Pumped_hydro_storage_n', 'Electricity_n');('Wind_n', 'Electricity_n')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;0,0;0,0;0,0;0,0;0,0;202,03;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,43;67,02;24,8;0,0;0,0;0,0;0,0;55,78
2030-01-01 01:00:00;0,0;0,0;0,0;0,0;0,0;190,96;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,43;87,63;24,8;0,0;0,0;0,0;0,0;24,09
2030-01-01 02:00:00;0,0;0,0;0,0;0,0;0,0;192,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,43;99,67;24,8;0,0;0,0;0,0;0,0;13,36
2030-01-01 03:00:00;0,0;0,0;0,0;0,0;0,0;197,18;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,43;92,13;24,8;0,0;0,0;0,0;0,0;25,82
2030-01-01 04:00:00;0,0;0,0;0,0;0,0;0,0;202,13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,43;92,48;24,8;0,0;0,0;0,0;0,0;30,42
2030-01-01 05:00:00;0,0;0,0;0,0;0,0;0,0;217,48;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,43;94,83;24,8;0,0;0,0;0,0;0,0;43,43
2030-01-01 06:00:00;0,0;0,0;0,0;0,0;0,0;217,17;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,43;106,48;24,8;0,0;0,0;0,0;0,0;31,46
2030-01-01 07:00:00;0,0;0,0;0,0;0,0;0,0;228,91;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,43;70,26;24,8;0,0;0,0;0,0;0,0;79,42
2030-01-01 08:00:00;0,0;0,0;0,0;0,0;0,0;251,23;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,43;0,0;24,8;0,0;0,0;0,0;88,23;83,77
2030-01-01 09:00:00;0,0;0,0;0,0;0,0;0,0;272,5;0,0;0,0;0,0;0,0;0,0;0,0;135,09;0,0;0,0;54,43;0,0;24,8;0,0;1,72;0,0;0,0;326,64
2030-01-01 10:00:00;0,0;0,0;0,0;0,0;0,0;284,17;30,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,43;0,0;24,8;0,0;4,14;0,0;0,0;231,31
2030-01-01 11:00:00;0,0;0,0;0,0;0,0;0,0;277,29;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,43;0,0;24,8;0,0;7,05;0,0;6,86;184,14
2030-01-01 12:00:00;0,0;0,0;0,0;0,0;0,0;262,33;91,87;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,43;0,0;24,8;0,0;6,44;0,0;0,0;268,53
2030-01-01 13:00:00;0,0;0,0;0,0;0,0;0,0;257,09;192,86;0,0;0,0;0,0;0,0;0,0;19,03;0,0;0,0;54,43;0,0;24,8;0,0;5,59;0,0;0,0;384,17
2030-01-01 14:00:00;0,0;0,0;0,0;0,0;0,0;269,34;0,0;0,0;0,0;0,0;0,0;0,0;143,49;0,0;0,0;54,43;0,0;24,8;0,0;5,85;0,0;0,0;327,76
2030-01-01 15:00:00;0,0;0,0;0,0;0,0;0,0;281,83;192,86;0,0;0,0;0,0;0,0;0,0;193,28;0,0;0,0;54,43;0,0;24,8;0,0;2,71;0,0;0,0;586,03
2030-01-01 16:00:00;0,0;0,0;0,0;0,0;0,0;277,9;130,83;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;54,43;0,0;24,8;0,0;0,01;0,0;0,0;329,49
