;('Battery_s', 'Electricity_s');('Biogas_s', 'Electricity_s');('Biomasse_elec_s', 'Electricity_s');('Electricity_s', 'Battery_s');('Electricity_s', 'Electric boiler_s');('Electricity_s', 'Electricity_demand_total_s');('Electricity_s', 'Electrolysis_s');('Electricity_s', 'Export_Electricity_s');('Electricity_s', 'HS<->Swest');('Electricity_s', 'Heatpump_air_s');('Electricity_s', 'Heatpump_water_s');('Electricity_s', 'Middel<->Swest');('Electricity_s', 'Pumped_hydro_storage_s');('Electricity_s', 'excess_b_el_s');('Fuelcell_s', 'Electricity_s');('GuD_s', 'Electricity_s');('HS<->Swest', 'Electricity_s');('Hydro power plant_s', 'Electricity_s');('Middel<->Swest', 'Electricity_s');('PV_open_s', 'Electricity_s');('PV_rooftop_s', 'Electricity_s');('Pumped_hydro_storage_s', 'Electricity_s');('Wind_s', 'Electricity_s')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;0,0;0,0;0,0;0,0;0,0;277,93;277,85;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;300,0;0,0;0,0;0,0;0,0;0,0;188,59
2030-01-01 01:00:00;0,0;0,0;0,0;0,0;0,0;264,98;232,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;300,0;0,0;0,0;0,0;0,0;0,0;130,5
2030-01-01 02:00:00;0,0;0,0;0,0;0,0;0,0;265,66;206,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;300,0;0,0;0,0;0,0;0,0;0,0;105,38
2030-01-01 03:00:00;0,0;0,0;0,0;0,0;0,0;269,97;219,49;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;300,0;0,0;0,0;0,0;0,0;0,0;122,27
2030-01-01 04:00:00;0,0;0,0;0,0;0,0;0,0;275,35;210,76;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;300,0;0,0;0,0;0,0;0,0;0,0;118,92
2030-01-01 05:00:00;0,0;0,0;0,0;0,0;0,0;298,34;227,76;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;300,0;0,0;0,0;0,0;0,0;0,0;158,91
2030-01-01 06:00:00;0,0;0,0;0,0;0,0;0,0;298,95;198,25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;300,0;0,0;0,0;0,0;0,0;0,0;130,02
2030-01-01 07:00:00;47,17;0,0;0,0;0,0;0,0;312,69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;0,0;0,0;0,0;198,33
2030-01-01 08:00:00;58,81;0,0;0,0;0,0;0,0;340,51;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;0,0;0,0;0,0;214,51
2030-01-01 09:00:00;0,0;0,0;0,0;0,0;0,0;367,07;209,14;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;54,11;0,0;0,0;14,82;0,0;0,0;440,1
2030-01-01 10:00:00;0,0;0,0;0,0;0,0;0,0;382,61;124,88;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;33,31;0,0;0,0;407,0
2030-01-01 11:00:00;0,0;0,0;0,0;0,0;0,0;374,38;104,36;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;52,36;0,0;0,0;359,19
2030-01-01 12:00:00;0,0;0,0;0,0;0,0;0,0;357,2;199,31;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;49,55;0,0;0,0;439,78
2030-01-01 13:00:00;0,0;0,0;0,0;0,0;0,0;349,9;308,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;18,94;0,0;0,0;33,46;0,0;0,0;538,32
2030-01-01 14:00:00;0,0;0,0;0,0;0,0;0,0;362,06;308,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;76,53;0,0;0,0;18,94;0,0;0,0;507,39
2030-01-01 15:00:00;0,0;0,0;0,0;0,0;0,0;375,27;308,0;0,0;0,0;0,0;0,0;0,0;250,23;0,0;0,0;67,19;69,12;0,0;0,0;5,97;0,0;0,0;791,23
2030-01-01 16:00:00;0,0;0,0;0,0;0,0;0,0;371,4;308,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;38,44;0,0;0,0;0,05;0,0;0,0;573,72
2030-01-01 17:00:00;0,0;0,0;0,0;9,43;0,0;358,61;308,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;0,0;0,0;0,0;608,85
2030-01-01 18:00:00;0,0;0,0;0,0;0,0;0,0;382,09;146,78;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;0,0;0,0;0,0;461,69
2030-01-01 19:00:00;0,0;0,0;0,0;0,0;0,0;427,02;83,44;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;0,0;0,0;0,0;443,26
2030-01-01 20:00:00;0,0;0,0;0,0;0,0;0,0;414,37;113,13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;0,0;0,0;0,0;460,32
2030-01-01 21:00:00;36,09;0,0;0,0;0,0;0,0;382,41;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;0,0;0,0;0,0;279,14
2030-01-01 22:00:00;116,44;0,0;0,0;0,0;0,0;365,88;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;0,0;0,0;0,0;182,26
2030-01-01 23:00:00;79,4;0,0;0,0;0,0;0,0;357,49;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;79,88;0,0;0,0;0,0;0,0;0,0;131,03
2030-01-02 00:00:00;0,0;0,0;0,0;0,0;0,0;277,99;257,58;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;300,0;0,0;0,0;0,0;0,0;0,0;168,39
2030-01-02 01:00:00;0,0;0,0;0,0;0,0;0,0;280,46;308,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;89,29;0,0;0,0;0,0;0,0;0,0;431,98
2030-01-02 02:00:00;0,0;0,0;0,0;329,48;0,0;276,83;308,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;102,41;0,0;0,0;0,0;0,0;0,0;744,71
2030-01-02 03:00:00;0,0;0,0;0,0;0,0;0,0;275,99;308,0;0,0;0,0;0,0;0,0;0,0;288,0;0,0;0,0;67,19;39,31;0,0;0,0;0,0;0,0;0,0;765,5
2030-01-02 04:00:00;0,0;0,0;0,0;484,57;0,0;277,57;308,0;0,0;0,0;0,0;0,0;0,0;288,0;0,0;0,0;67,19;300,0;0,0;126,53;0,0;0,0;0,0;864,41
2030-01-02 05:00:00;0,0;0,0;0,0;294,88;0,0;301,59;308,0;0,0;0,0;0,0;0,0;0,0;37,77;0,0;0,0;67,19;96,64;0,0;0,0;0,0;0,0;0,0;778,41
2030-01-02 06:00:00;0,0;0,0;0,0;0,0;0,0;317,63;308,0;0,0;0,0;0,0;0,0;0,0;288,0;0,0;0,0;67,19;35,4;0,0;0,0;0,0;0,0;0,0;811,04
2030-01-02 07:00:00;0,0;0,0;0,0;0,0;0,0;372,91;170,7;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;0,0;0,0;0,0;476,43
2030-01-02 08:00:00;0,0;0,0;0,0;0,0;0,0;378,41;167,33;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;0,0;0,0;0,0;478,56
2030-01-02 09:00:00;0,0;0,0;0,0;0,0;0,0;351,24;151,06;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;9,7;0,0;0,0;425,41
2030-01-02 10:00:00;0,0;0,0;0,0;0,0;0,0;337,07;220,79;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;24,46;0,0;0,0;466,21
2030-01-02 11:00:00;0,0;0,0;0,0;0,0;0,0;337,75;137,14;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;33,54;0,0;0,0;374,17
2030-01-02 12:00:00;0,0;0,0;0,0;63,53;0,0;339,88;308,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;26,65;0,0;0,0;617,57
2030-01-02 13:00:00;0,0;0,0;0,0;134,02;0,0;333,73;308,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;23,21;0,0;0,0;685,35
2030-01-02 14:00:00;0,0;0,0;0,0;0,0;0,0;332,53;246,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;17,27;0,0;0,0;494,88
2030-01-02 15:00:00;0,0;0,0;0,0;28,68;0,0;336,5;308,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;6,47;0,0;0,0;599,52
2030-01-02 16:00:00;0,0;0,0;0,0;0,0;0,0;341,26;203,15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;0,08;0,0;0,0;477,14
2030-01-02 17:00:00;0,0;0,0;0,0;0,0;0,0;343,5;238,13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;0,0;0,0;0,0;0,0;0,0;0,0;514,44
2030-01-02 18:00:00;0,0;0,0;0,0;0,0;0,0;364,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;9,33;0,0;0,0;0,0;0,0;0,0;287,58
2030-01-02 19:00:00;119,04;0,0;0,0;0,0;0,0;421,87;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;56,54;0,0;0,0;0,0;0,0;0,0;179,11
2030-01-02 20:00:00;0,0;0,0;0,0;0,0;0,0;431,24;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;67,19;251,59;0,0;0,0;0,0;0,0;0,0;112,47
