;('Biogas_feedin_existing_e', 'Gas_e');('Biogas_feedin_new_e', 'Gas_e');('Gas_e', 'Gas_demand_total_e');('Gas_e', 'Gas_storage_e');('Gas_e', 'GuD_e');('Gas_e', 'Material_demand_Gas_e');('Gas_e', 'excess_b_gas_e');('Gas_storage_e', 'Gas_e');('Hydrogen_feedin_e', 'Gas_e');('Import_Gas_e', 'Gas_e');('Methanisation_e', 'Gas_e')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;419,76;0,0;300,89;0,0;219,89;0,37;0,0;0,0;0,0;101,39;0,0
2030-01-01 01:00:00;419,76;0,0;323,33;0,0;219,89;0,37;0,0;0,0;0,0;123,83;0,0
2030-01-01 02:00:00;419,76;0,0;344,22;0,0;219,89;0,37;0,0;0,0;0,0;144,73;0,0
2030-01-01 03:00:00;419,76;0,0;376,28;0,0;219,89;0,37;0,0;0,0;0,0;176,79;0,0
2030-01-01 04:00:00;419,76;0,0;402,74;0,0;219,89;0,37;0,0;203,24;0,0;0,0;0,0
2030-01-01 05:00:00;419,76;0,0;434,88;0,0;219,89;0,37;0,0;0,0;0,0;235,38;0,0
2030-01-01 06:00:00;419,76;0,0;418,77;0,0;219,89;0,37;0,0;0,0;0,0;219,27;0,0
2030-01-01 07:00:00;419,76;0,0;435,04;0,0;219,89;0,37;0,0;0,0;0,0;235,54;0,0
2030-01-01 08:00:00;419,76;0,0;446,62;0,0;219,89;0,37;0,0;0,0;0,0;247,12;0,0
2030-01-01 09:00:00;419,76;0,0;435,65;0,0;219,89;0,37;0,0;236,15;0,0;0,0;0,0
2030-01-01 10:00:00;419,76;0,0;424,46;0,0;219,89;0,37;0,0;0,0;0,0;224,97;0,0
2030-01-01 11:00:00;419,76;0,0;410,72;0,0;219,89;0,37;0,0;0,0;0,0;211,23;0,0
2030-01-01 12:00:00;419,76;0,0;396,8;0,0;219,89;0,37;0,0;197,31;0,0;0,0;0,0
2030-01-01 13:00:00;419,76;0,0;378,01;0,0;219,89;0,37;0,0;0,0;0,0;178,51;0,0
2030-01-01 14:00:00;419,76;0,0;390,11;0,0;219,89;0,37;0,0;0,0;0,0;190,62;0,0
2030-01-01 15:00:00;419,76;0,0;399,31;0,0;219,89;0,37;0,0;199,81;0,0;0,0;0,0
2030-01-01 16:00:00;419,76;0,0;397,6;0,0;219,89;0,37;0,0;0,0;0,0;198,1;0,0
2030-01-01 17:00:00;419,76;0,0;406,51;0,0;219,89;0,37;0,0;0,0;0,0;207,02;0,0
2030-01-01 18:00:00;419,76;0,0;413,31;0,0;219,89;0,37;0,0;0,0;0,0;213,82;0,0
2030-01-01 19:00:00;419,76;0,0;423,8;0,0;219,89;0,37;0,0;224,3;0,0;0,0;0,0
