;('Biogas_feedin_existing_m', 'Gas_m');('Biogas_feedin_new_m', 'Gas_m');('Gas_m', 'Gas_demand_total_m');('Gas_m', 'Gas_storage_m');('Gas_m', 'GuD_m');('Gas_m', 'Material_demand_Gas_m');('Gas_m', 'excess_b_gas_m');('Gas_storage_m', 'Gas_m');('Hydrogen_feedin_m', 'Gas_m');('Import_Gas_m', 'Gas_m');('Methanisation_m', 'Gas_m')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;388,17;0,0;252,32;0,0;216,87;0,36;0,0;0,0;0,0;81,37;0,0
2030-01-01 01:00:00;388,17;0,0;273,0;0,0;216,87;0,36;0,0;0,0;0,0;102,05;0,0
2030-01-01 02:00:00;388,17;0,0;291,25;0,0;216,87;0,36;0,0;0,0;0,0;120,3;0,0
2030-01-01 03:00:00;388,17;0,0;319,3;0,0;216,87;0,36;0,0;0,0;0,0;148,35;0,0
2030-01-01 04:00:00;388,17;0,0;343,31;0,0;216,87;0,36;0,0;0,0;0,0;172,36;0,0
2030-01-01 05:00:00;388,17;0,0;371,75;0,0;216,87;0,36;0,0;0,0;0,0;200,81;0,0
2030-01-01 06:00:00;388,17;0,0;358,2;0,0;216,87;0,36;0,0;0,0;0,0;187,25;0,0
2030-01-01 07:00:00;388,17;0,0;373,86;0,0;216,87;0,36;0,0;0,0;0,0;202,91;0,0
2030-01-01 08:00:00;388,17;0,0;385,37;0,0;216,87;0,36;0,0;0,0;0,0;214,43;0,0
2030-01-01 09:00:00;388,17;0,0;370,99;0,0;216,87;0,36;0,0;0,0;0,0;200,05;0,0
2030-01-01 10:00:00;388,17;0,0;358,61;0,0;216,87;0,36;0,0;0,0;0,0;187,66;0,0
2030-01-01 11:00:00;388,17;0,0;347,03;0,0;216,87;0,36;0,0;0,0;0,0;176,09;0,0
2030-01-01 12:00:00;388,17;0,0;330,88;0,0;216,87;0,36;0,0;0,0;0,0;159,94;0,0
2030-01-01 13:00:00;388,17;0,0;313,81;0,0;216,87;0,36;0,0;0,0;0,0;142,86;0,0
2030-01-01 14:00:00;388,17;0,0;315,9;0,0;216,87;0,36;0,0;0,0;0,0;144,96;0,0
2030-01-01 15:00:00;388,17;0,0;322,22;0,0;216,87;0,36;0,0;0,0;0,0;151,27;0,0
2030-01-01 16:00:00;388,17;0,0;323,3;0,0;216,87;0,36;0,0;0,0;0,0;152,36;0,0
2030-01-01 17:00:00;388,17;0,0;331,02;0,0;216,87;0,36;0,0;0,0;0,0;160,08;0,0
2030-01-01 18:00:00;388,17;0,0;335,52;0,0;216,87;0,36;0,0;0,0;0,0;164,58;0,0
2030-01-01 19:00:00;388,17;0,0;344,41;0,0;216,87;0,36;0,0;0,0;0,0;173,47;0,0
