;('Biogas_feedin_existing_n', 'Gas_n');('Biogas_feedin_new_n', 'Gas_n');('Gas_n', 'Gas_demand_total_n');('Gas_n', 'Gas_storage_n');('Gas_n', 'GuD_n');('Gas_n', 'Material_demand_Gas_n');('Gas_n', 'excess_b_gas_n');('Gas_storage_n', 'Gas_n');('Hydrogen_feedin_n', 'Gas_n');('Import_Gas_n', 'Gas_n');('Methanisation_n', 'Gas_n')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;231,28;0,0;229,89;0,0;120,95;0,22;0,0;0,0;0,0;119,79;0,0
2030-01-01 01:00:00;231,28;0,0;251,15;0,0;120,95;0,22;0,0;0,0;0,0;141,04;0,0
2030-01-01 02:00:00;231,28;0,0;269,06;0,0;120,95;0,22;0,0;0,0;0,0;158,96;0,0
2030-01-01 03:00:00;231,28;0,0;291,22;0,0;120,95;0,22;0,0;0,0;0,0;181,12;0,0
2030-01-01 04:00:00;231,28;0,0;309,13;0,0;120,95;0,22;0,0;0,0;0,0;199,02;0,0
2030-01-01 05:00:00;231,28;0,0;328,56;0,0;120,95;0,22;0,0;0,0;0,0;218,45;0,0
2030-01-01 06:00:00;231,28;0,0;324,74;0,0;120,95;0,22;0,0;0,0;0,0;214,63;0,0
2030-01-01 07:00:00;231,28;0,0;335,92;0,0;120,95;0,22;0,0;0,0;0,0;225,81;0,0
2030-01-01 08:00:00;231,28;0,0;344,61;0,0;120,95;0,22;0,0;0,0;0,0;234,5;0,0
2030-01-01 09:00:00;231,28;0,0;340,92;0,0;120,95;0,22;0,0;0,0;0,0;230,82;0,0
2030-01-01 10:00:00;231,28;0,0;336,1;0,0;120,95;0,22;0,0;0,0;0,0;225,99;0,0
2030-01-01 11:00:00;231,28;0,0;330,16;0,0;120,95;0,22;0,0;0,0;0,0;220,06;0,0
2030-01-01 12:00:00;231,28;0,0;323,18;0,0;120,95;0,22;0,0;0,0;0,0;213,08;0,0
2030-01-01 13:00:00;231,28;0,0;314,61;0,0;120,95;0,22;0,0;0,0;0,0;204,51;0,0
2030-01-01 14:00:00;231,28;0,0;319,15;0,0;120,95;0,22;0,0;0,0;0,0;209,05;0,0
2030-01-01 15:00:00;231,28;0,0;323,37;0,0;120,95;0,22;0,0;0,0;0,0;213,26;0,0
2030-01-01 16:00:00;231,28;0,0;322,84;0,0;120,95;0,22;0,0;0,0;0,0;212,73;0,0
2030-01-01 17:00:00;231,28;0,0;327,19;0,0;120,95;0,22;0,0;0,0;0,0;217,08;0,0
2030-01-01 18:00:00;231,28;0,0;329,48;0,0;120,95;0,22;0,0;0,0;0,0;219,38;0,0
2030-01-01 19:00:00;231,28;0,0;333,24;0,0;120,95;0,22;0,0;0,0;0,0;223,13;0,0
2030-01-01 20:00:00;231,28;0,0;330,34;0,0;120,95;0,22;0,0;0,0;0,0;220,23;0,0
2030-01-01 21:00:00;231,28;0,0;338,12;0,0;120,95;0,22;0,0;0,0;0,0;228,02;0,0
2030-01-01 22:00:00;231,28;0,0;332,89;0,0;120,95;0,22;0,0;0,0;0,0;222,79;0,0
2030-01-01 23:00:00;231,28;0,0;341,19;0,0;120,95;0,22;0,0;0,0;0,0;231,09;0,0
2030-01-02 00:00:00;231,28;0,0;317,35;0,0;120,95;0,22;0,0;0,0;0,0;207,25;0,0
2030-01-02 01:00:00;231,28;0,0;318,19;0,0;120,95;0,22;0,0;0,0;0,0;208,08;0,0
2030-01-02 02:00:00;231,28;0,0;317,9;0,0;120,95;0,22;0,0;0,0;0,0;207,79;0,0
2030-01-02 03:00:00;231,28;0,0;324,22;0,0;120,95;0,22;0,0;0,0;0,0;214,11;0,0
2030-01-02 04:00:00;231,28;0,0;329,88;0,0;120,95;0,22;0,0;0,0;0,0;219,77;0,0
2030-01-02 05:00:00;231,28;0,0;338,16;0,0;120,95;0,22;0,0;0,0;0,0;228,05;0,0
2030-01-02 06:00:00;231,28;0,0;326,01;0,0;120,95;0,22;0,0;0,0;0,0;215,9;0,0
2030-01-02 07:00:00;231,28;0,0;329,61;0,0;120,95;0,22;0,0;0,0;0,0;219,5;0,0
2030-01-02 08:00:00;231,28;0,0;332,49;0,0;120,95;0,22;0,0;0,0;0,0;222,38;0,0
2030-01-02 09:00:00;231,28;0,0;323,5;0,0;120,95;0,22;0,0;0,0;0,0;213,39;0,0
2030-01-02 10:00:00;231,28;0,0;314,58;0,0;120,95;0,22;0,0;0,0;0,0;204,47;0,0
2030-01-02 11:00:00;231,28;0,0;306,37;0,0;120,95;0,22;0,0;0,0;0,0;196,26;0,0
2030-01-02 12:00:00;231,28;0,0;295,81;0,0;120,95;0,22;0,0;0,0;0,0;185,71;0,0
2030-01-02 13:00:00;231,28;0,0;284,07;0,0;120,95;0,22;0,0;0,0;0,0;173,97;0,0
2030-01-02 14:00:00;231,28;0,0;285,49;0,0;120,95;0,22;0,0;0,0;0,0;175,39;0,0
2030-01-02 15:00:00;231,28;0,0;287,39;0,0;120,95;0,22;0,0;0,0;0,0;177,28;0,0
2030-01-02 16:00:00;231,28;0,0;285,45;0,0;120,95;0,22;0,0;0,0;0,0;175,34;0,0
2030-01-02 17:00:00;231,28;0,0;290,73;0,0;120,95;0,22;0,0;0,0;0,0;180,63;0,0
2030-01-02 18:00:00;231,28;0,0;293,73;0,0;120,95;0,22;0,0;0,0;0,0;183,62;0,0
2030-01-02 19:00:00;231,28;0,0;299,08;0,0;120,95;0,22;0,0;0,0;0,0;188,97;0,0
2030-01-02 20:00:00;231,28;0,0;297,6;0,0;120,95;0,22;0,0;0,0;0,0;187,5;0,0
2030-01-02 21:00:00;231,28;0,0;307,33;0,0;120,95;0,22;0,0;0,0;0,0;197,22;0,0
2030-01-02 22:00:00;231,28;0,0;304,7;0,0;120,95;0,22;0,0;0,0;0,0;194,6;0,0
2030-01-02 23:00:00;231,28;0,0;314,73;0,0;120,95;0,22;0,0;0,0;0,0;204,62;0,0
2030-01-03 00:00:00;231,28;0,0;344,85;0,0;120,95;0,22;0,0;0,0;0,0;234,74;0,0
2030-01-03 01:00:00;231,28;0,0;351,01;0,0;120,95;0,22;0,0;0,0;0,0;240,9;0,0
2030-01-03 02:00:00;231,28;0,0;361,79;0,0;120,95;0,22;0,0;0,0;0,0;251,68;0,0
2030-01-03 03:00:00;231,28;0,0;370,86;0,0;120,95;0,22;0,0;0,0;0,0;260,76;0,0
