;('Biogas_feedin_existing_s', 'Gas_s');('Biogas_feedin_new_s', 'Gas_s');('Gas_s', 'Gas_demand_total_s');('Gas_s', 'Gas_storage_s');('Gas_s', 'GuD_s');('Gas_s', 'Material_demand_Gas_s');('Gas_s', 'excess_b_gas_s');('Gas_storage_s', 'Gas_s');('Hydrogen_feedin_s', 'Gas_s');('Import_Gas_s', 'Gas_s');('Methanisation_s', 'Gas_s')
;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;327,16;0,0;280,82;0,0;149,3;0,28;0,0;0,0;0,0;103,24;0,0
2030-01-01 01:00:00;327,16;0,0;304,93;0,0;149,3;0,28;0,0;0,0;0,0;127,35;0,0
2030-01-01 02:00:00;327,16;0,0;326,84;0,0;149,3;0,28;0,0;0,0;0,0;149,26;0,0
2030-01-01 03:00:00;327,16;0,0;352,51;0,0;149,3;0,28;0,0;0,0;0,0;174,92;0,0
2030-01-01 04:00:00;327,16;0,0;374,21;0,0;149,3;0,28;0,0;0,0;0,0;196,63;0,0
2030-01-01 05:00:00;327,16;0,0;397,69;0,0;149,3;0,28;0,0;0,0;0,0;220,11;0,0
2030-01-01 06:00:00;327,16;0,0;391,13;0,0;149,3;0,28;0,0;0,0;0,0;213,55;0,0
2030-01-01 07:00:00;327,16;0,0;404,04;0,0;149,3;0,28;0,0;0,0;0,0;226,46;0,0
2030-01-01 08:00:00;327,16;0,0;413,87;0,0;149,3;0,28;0,0;0,0;0,0;236,29;0,0
2030-01-01 09:00:00;327,16;0,0;408,49;0,0;149,3;0,28;0,0;0,0;0,0;230,91;0,0
2030-01-01 10:00:00;327,16;0,0;403,61;0,0;149,3;0,28;0,0;226,03;0,0;0,0;0,0
2030-01-01 11:00:00;327,16;0,0;397,68;0,0;149,3;0,28;0,0;0,0;0,0;220,1;0,0
2030-01-01 12:00:00;327,16;0,0;390,7;0,0;149,3;0,28;0,0;0,0;0,0;213,11;0,0
2030-01-01 13:00:00;327,16;0,0;378,28;0,0;149,3;0,28;0,0;0,0;0,0;200,7;0,0
2030-01-01 14:00:00;327,16;0,0;382,4;0,0;149,3;0,28;0,0;0,0;0,0;204,82;0,0
2030-01-01 15:00:00;327,16;0,0;386,39;0,0;149,3;0,28;0,0;0,0;0,0;208,81;0,0
2030-01-01 16:00:00;327,16;0,0;387,37;0,0;149,3;0,28;0,0;0,0;0,0;209,79;0,0
2030-01-01 17:00:00;327,16;0,0;395,37;0,0;149,3;0,28;0,0;0,0;0,0;217,79;0,0
2030-01-01 18:00:00;327,16;0,0;399,12;0,0;149,3;0,28;0,0;0,0;0,0;221,54;0,0
2030-01-01 19:00:00;327,16;0,0;404,55;0,0;149,3;0,28;0,0;0,0;0,0;226,97;0,0
2030-01-01 20:00:00;327,16;0,0;401,02;0,0;149,3;0,28;0,0;0,0;0,0;223,44;0,0
2030-01-01 21:00:00;327,16;0,0;412,68;0,0;149,3;0,28;0,0;0,0;0,0;235,1;0,0
2030-01-01 22:00:00;327,16;0,0;406,6;0,0;149,3;0,28;0,0;229,02;0,0;0,0;0,0
2030-01-01 23:00:00;327,16;0,0;419,01;0,0;149,3;0,28;0,0;0,0;0,0;241,43;0,0
2030-01-02 00:00:00;327,16;0,0;375,03;0,0;149,3;0,28;0,0;0,0;0,0;197,45;0,0
2030-01-02 01:00:00;327,16;0,0;376,49;0,0;149,3;0,28;0,0;0,0;0,0;198,91;0,0
2030-01-02 02:00:00;327,16;0,0;377,11;0,0;149,3;0,28;0,0;0,0;0,0;199,53;0,0
2030-01-02 03:00:00;327,16;0,0;385,52;0,0;149,3;0,28;0,0;0,0;0,0;207,94;0,0
2030-01-02 04:00:00;327,16;0,0;393,0;0,0;149,3;0,28;0,0;0,0;0,0;215,42;0,0
2030-01-02 05:00:00;327,16;0,0;402,96;0,0;149,3;0,28;0,0;0,0;0,0;225,38;0,0
2030-01-02 06:00:00;327,16;0,0;388,84;0,0;149,3;0,28;0,0;0,0;0,0;211,26;0,0
2030-01-02 07:00:00;327,16;0,0;392,9;0,0;149,3;0,28;0,0;0,0;0,0;215,32;0,0
2030-01-02 08:00:00;327,16;0,0;395,41;0,0;149,3;0,28;0,0;0,0;0,0;217,83;0,0
2030-01-02 09:00:00;327,16;0,0;385,13;0,0;149,3;0,28;0,0;207,55;0,0;0,0;0,0
2030-01-02 10:00:00;327,16;0,0;376,21;0,0;149,3;0,28;0,0;0,0;0,0;198,63;0,0
2030-01-02 11:00:00;327,16;0,0;367,61;0,0;149,3;0,28;0,0;0,0;0,0;190,02;0,0
2030-01-02 12:00:00;327,16;0,0;356,25;0,0;149,3;0,28;0,0;0,0;0,0;178,67;0,0
2030-01-02 13:00:00;327,16;0,0;341,13;0,0;149,3;0,28;0,0;0,0;0,0;163,55;0,0
2030-01-02 14:00:00;327,16;0,0;342,61;0,0;149,3;0,28;0,0;0,0;0,0;165,03;0,0
2030-01-02 15:00:00;327,16;0,0;344,66;0,0;149,3;0,28;0,0;0,0;0,0;167,08;0,0
2030-01-02 16:00:00;327,16;0,0;343,32;0,0;149,3;0,28;0,0;0,0;0,0;165,74;0,0
