;('District heating_e', 'Heat storage_e');('Heat storage_e', 'District heating_e');('Heat storage_e', 'None')
;flow;flow;storage_content
2030-01-01 00:00:00;43,01;0,0;13377,95
2030-01-01 01:00:00;36,14;0,0;13412,92
2030-01-01 02:00:00;29,65;0,0;13441,4
2030-01-01 03:00:00;24,85;0,0;13465,08
2030-01-01 04:00:00;20,85;0,0;13484,76
2030-01-01 05:00:00;17,08;0,0;13500,67
2030-01-01 06:00:00;14,2;0,0;13513,69
2030-01-01 07:00:00;11,48;0,0;13523,98
2030-01-01 08:00:00;8,81;0,0;13531,62
2030-01-01 09:00:00;7,51;0,0;13537,95
2030-01-01 10:00:00;8,86;0,0;13545,62
2030-01-01 11:00:00;13,88;0,0;13558,32
2030-01-01 12:00:00;17,08;0,0;13574,22
2030-01-01 13:00:00;17,01;0,0;13590,04
2030-01-01 14:00:00;12,56;0,0;13601,41
2030-01-01 15:00:00;10,21;0,0;13610,44
2030-01-01 16:00:00;12,13;0,0;13621,38
2030-01-01 17:00:00;12,24;0,0;13632,43
2030-01-01 18:00:00;11,3;0,0;13642,54
2030-01-01 19:00:00;10,29;0,0;13651,65
2030-01-01 20:00:00;9,22;0,0;13659,67
2030-01-01 21:00:00;8,09;0,0;13666,57
2030-01-01 22:00:00;6,92;0,0;13672,3
2030-01-01 23:00:00;5,72;0,0;13676,82
2030-01-02 00:00:00;4,49;0,0;13680,11
2030-01-02 01:00:00;3,23;0,0;13682,15
2030-01-02 02:00:00;1,96;0,0;13682,92
2030-01-02 03:00:00;1,09;0,0;13682,81
2030-01-02 04:00:00;0,25;0,0;13681,87
2030-01-02 05:00:00;0,0;0,55;13680,13
2030-01-02 06:00:00;0,0;1,33;13677,6
2030-01-02 07:00:00;0,0;2,35;13674,06
2030-01-02 08:00:00;0,0;3,64;13669,23
2030-01-02 09:00:00;0,0;0,21;13667,82
2030-01-02 10:00:00;2,27;0,0;13668,91
2030-01-02 11:00:00;7,02;0,0;13674,74
2030-01-02 12:00:00;13,72;0,0;13687,27
2030-01-02 13:00:00;13,48;0,0;13699,56
2030-01-02 14:00:00;13,46;0,0;13711,82
2030-01-02 15:00:00;13,67;0,0;13724,3
2030-01-02 16:00:00;14,79;0,0;13737,89
2030-01-02 17:00:00;14,05;0,0;13750,74
2030-01-02 18:00:00;12,47;0,0;13762,01
2030-01-02 19:00:00;10,67;0,0;13771,48
2030-01-02 20:00:00;8,29;0,0;13778,56
2030-01-02 21:00:00;6,12;0,0;13783,49
2030-01-02 22:00:00;3,86;0,0;13786,14
2030-01-02 23:00:00;1,51;0,0;13786,46
2030-01-03 00:00:00;0,0;0,9;13784,35
2030-01-03 01:00:00;0,0;3,78;13779,37
2030-01-03 02:00:00;0,0;6,75;13771,42
2030-01-03 03:00:00;0,0;8,98;13761,23
2030-01-03 04:00:00;0,0;10,75;13749,28
2030-01-03 05:00:00;0,0;12,86;13735,22
2030-01-03 06:00:00;0,0;14,12;13719,91
2030-01-03 07:00:00;0,0;16,36;13702,35
2030-01-03 08:00:00;0,0;18,48;13682,68
2030-01-03 09:00:00;0,0;17,82;13663,67
2030-01-03 10:00:00;0,0;13,09;13649,39
2030-01-03 11:00:00;0,0;6,64;13641,55
2030-01-03 12:00:00;2,38;0,0;13642,74
2030-01-03 13:00:00;7,0;0,0;13648,55
2030-01-03 14:00:00;6,93;0,0;13654,29
2030-01-03 15:00:00;5,58;0,0;13658,68
2030-01-03 16:00:00;4,92;0,0;13662,41
2030-01-03 17:00:00;4,58;0,0;13665,79
2030-01-03 18:00:00;3,16;0,0;13667,75
2030-01-03 19:00:00;1,62;0,0;13668,18
2030-01-03 20:00:00;0,4;0,0;13667,39
2030-01-03 21:00:00;0,0;1,25;13664,94
2030-01-03 22:00:00;0,0;2,98;13660,77
2030-01-03 23:00:00;0,0;4,35;13655,22
2030-01-04 00:00:00;0,0;5,72;13648,32
2030-01-04 01:00:00;0,0;7,08;13640,04
2030-01-04 02:00:00;0,0;8,44;13630,41
2030-01-04 03:00:00;0,0;9,39;13619,84
2030-01-04 04:00:00;0,0;10,28;13608,37
2030-01-04 05:00:00;0,0;10,72;13596,46
2030-01-04 06:00:00;0,0;11,48;13583,79
2030-01-04 07:00:00;0,0;12,91;13569,7
2030-01-04 08:00:00;0,0;14,24;13554,28
2030-01-04 09:00:00;0,0;16,94;13536,16
2030-01-04 10:00:00;0,0;15,86;13519,11
2030-01-04 11:00:00;0,0;12,18;13505,75
2030-01-04 12:00:00;0,0;9,78;13494,79
2030-01-04 13:00:00;0,0;10,29;13483,33
2030-01-04 14:00:00;0,0;13,15;13469,01
2030-01-04 15:00:00;0,0;13,69;13454,14
2030-01-04 16:00:00;0,0;10,62;13442,34
2030-01-04 17:00:00;0,0;10,57;13430,6
2030-01-04 18:00:00;0,0;11,26;13418,17
2030-01-04 19:00:00;0,0;12,08;13404,92
2030-01-04 20:00:00;0,0;12,99;13390,76
2030-01-04 21:00:00;0,0;13,99;13375,6
2030-01-04 22:00:00;0,0;15,06;13359,37
2030-01-04 23:00:00;0,0;16,18;13342,02
2030-01-05 00:00:00;0,0;18,99;13321,86
2030-01-05 01:00:00;0,0;22,46;13298,24
2030-01-05 02:00:00;0,0;26,16;13270,92
2030-01-05 03:00:00;0,0;28,82;13240,94
2030-01-05 04:00:00;0,0;31,49;13208,3
2030-01-05 05:00:00;0,0;34,16;13172,98
2030-01-05 06:00:00;0,0;36,43;13135,41
2030-01-05 07:00:00;0,0;38,23;13096,02
2030-01-05 08:00:00;0,0;39,13;13055,75
2030-01-05 09:00:00;0,0;36,38;13018,24
2030-01-05 10:00:00;0,0;29,18;12987,92
2030-01-05 11:00:00;0,0;27,26;12959,53
2030-01-05 12:00:00;0,0;28,48;12929,92
2030-01-05 13:00:00;0,0;29,5;12899,29
2030-01-05 14:00:00;0,0;27,39;12870,77
2030-01-05 15:00:00;0,0;28,98;12840,67
2030-01-05 16:00:00;0,0;31,74;12807,81
2030-01-05 17:00:00;0,0;33,02;12773,68
2030-01-05 18:00:00;0,0;34,31;12738,25
2030-01-05 19:00:00;0,0;35,61;12701,53
2030-01-05 20:00:00;0,0;36,92;12663,5
2030-01-05 21:00:00;0,0;38,24;12624,15
2030-01-05 22:00:00;0,0;39,57;12583,48
2030-01-05 23:00:00;0,0;40,9;12541,49
2030-01-06 00:00:00;0,0;41,41;12498,99
2030-01-06 01:00:00;0,0;40,58;12457,31
2030-01-06 02:00:00;0,0;40,35;12415,88
2030-01-06 03:00:00;0,0;39,62;12375,18
2030-01-06 04:00:00;0,0;39,18;12334,91
2030-01-06 05:00:00;0,0;38,7;12295,14
2030-01-06 06:00:00;0,0;38,18;12255,89
2030-01-06 07:00:00;0,0;37,63;12217,18
2030-01-06 08:00:00;0,0;36,23;12179,88
2030-01-06 09:00:00;0,0;30,07;12148,75
2030-01-06 10:00:00;0,0;29,6;12118,09
2030-01-06 11:00:00;0,0;24,79;12092,24
2030-01-06 12:00:00;0,0;17,14;12074,05
2030-01-06 13:00:00;0,0;13,03;12059,97
2030-01-06 14:00:00;0,0;9,24;12049,67
2030-01-06 15:00:00;0,0;8,78;12039,85
2030-01-06 16:00:00;0,0;11,39;12027,4
2030-01-06 17:00:00;0,0;11,92;12014,43
2030-01-06 18:00:00;0,0;12,6;12000,78
2030-01-06 19:00:00;0,0;13,42;11986,31
2030-01-06 20:00:00;0,0;13,92;11971,35
2030-01-06 21:00:00;0,0;14,87;11955,43
2030-01-06 22:00:00;0,0;15,9;11938,49
2030-01-06 23:00:00;0,0;16,99;11920,46
2030-01-07 00:00:00;0,0;19,36;11900,06
2030-01-07 01:00:00;0,0;21,51;11877,51
2030-01-07 02:00:00;0,0;24,18;11852,29
2030-01-07 03:00:00;0,0;25,75;11825,51
2030-01-07 04:00:00;0,0;27,28;11797,2
2030-01-07 05:00:00;0,0;29,18;11766,98
2030-01-07 06:00:00;0,0;30,28;11735,67
2030-01-07 07:00:00;0,0;32,39;11702,26
2030-01-07 08:00:00;0,0;33,58;11667,66
2030-01-07 09:00:00;0,0;30,88;11635,76
2030-01-07 10:00:00;0,0;25,33;11609,41
2030-01-07 11:00:00;0,0;18,13;11590,26
2030-01-07 12:00:00;0,0;10,61;11578,64
2030-01-07 13:00:00;0,0;7,01;11570,62
2030-01-07 14:00:00;0,0;7,03;11562,58
2030-01-07 15:00:00;0,0;7,58;11553,99
2030-01-07 16:00:00;0,0;8,05;11544,94
2030-01-07 17:00:00;0,0;9,05;11534,88
2030-01-07 18:00:00;0,0;11,27;11522,61
2030-01-07 19:00:00;0,0;13,29;11508,31
2030-01-07 20:00:00;0,0;15,86;11491,45
2030-01-07 21:00:00;0,0;18,17;11472,28
2030-01-07 22:00:00;0,0;20,55;11450,73
2030-01-07 23:00:00;0,0;23,41;11426,32
2030-01-08 00:00:00;0,0;25,95;11399,37
2030-01-08 01:00:00;0,0;28,94;11369,44
2030-01-08 02:00:00;0,0;31,17;11337,28
2030-01-08 03:00:00;0,0;32,95;11303,34
2030-01-08 04:00:00;0,0;35,06;11267,3
2030-01-08 05:00:00;0,0;36,74;11229,57
2030-01-08 06:00:00;0,0;38,35;11190,24
2030-01-08 07:00:00;0,0;40,18;11149,08
2030-01-08 08:00:00;0,0;42,25;11105,86
2030-01-08 09:00:00;0,0;45,27;11059,62
2030-01-08 10:00:00;0,0;45,68;11012,98
2030-01-08 11:00:00;0,0;43,18;10968,84
2030-01-08 12:00:00;0,0;41,98;10925,9
2030-01-08 13:00:00;0,0;43,32;10881,63
2030-01-08 14:00:00;0,0;46,56;10834,12
2030-01-08 15:00:00;0,0;47,42;10785,75
2030-01-08 16:00:00;0,0;44,19;10740,62
2030-01-08 17:00:00;0,0;44,29;10695,4
2030-01-08 18:00:00;0,0;45,51;10648,96
2030-01-08 19:00:00;0,0;47,71;10600,32
2030-01-08 20:00:00;0,0;48,08;10551,31
2030-01-08 21:00:00;0,0;49,61;10500,78
2030-01-08 22:00:00;0,0;50,82;10449,05
2030-01-08 23:00:00;0,0;52,47;10395,66
2030-01-09 00:00:00;0,0;54,19;10340,56
2030-01-09 01:00:00;0,0;55,97;10283,68
2030-01-09 02:00:00;0,0;57,8;10224,99
2030-01-09 03:00:00;0,0;59,25;10164,84
2030-01-09 04:00:00;0,0;60,27;10103,69
2030-01-09 05:00:00;0,0;61,22;10041,58
2030-01-09 06:00:00;0,0;62,12;9978,59
2030-01-09 07:00:00;0,0;63,65;9914,07
2030-01-09 08:00:00;0,0;63,83;9849,37
2030-01-09 09:00:00;0,0;57,43;9791,08
2030-01-09 10:00:00;0,0;48,33;9741,9
2030-01-09 11:00:00;0,0;37,93;9703,11
2030-01-09 12:00:00;0,0;29,41;9672,85
2030-01-09 13:00:00;0,0;25,88;9646,13
2030-01-09 14:00:00;0,0;26,67;9618,61
2030-01-09 15:00:00;0,0;29,06;9588,72
2030-01-09 16:00:00;0,0;29,79;9558,09
2030-01-09 17:00:00;0,0;32,53;9524,72
2030-01-09 18:00:00;0,0;36,26;9487,63
2030-01-09 19:00:00;0,0;40,31;9446,49
2030-01-09 20:00:00;0,0;44,62;9401,05
