;('District heating_m', 'Heat storage_m');('Heat storage_m', 'District heating_m');('Heat storage_m', 'None')
;flow;flow;storage_content
2030-01-01 00:00:00;50,65;0,0;6642,55
2030-01-01 01:00:00;44,25;0,0;6686,22
2030-01-01 02:00:00;38,38;0,0;6724,01
2030-01-01 03:00:00;34,28;0,0;6757,71
2030-01-01 04:00:00;30,5;0,0;6787,62
2030-01-01 05:00:00;27,22;0,0;6814,25
2030-01-01 06:00:00;24,35;0,0;6838,0
2030-01-01 07:00:00;21,58;0,0;6858,98
2030-01-01 08:00:00;18,82;0,0;6877,2
2030-01-01 09:00:00;19,15;0,0;6895,75
2030-01-01 10:00:00;21,11;0,0;6916,26
2030-01-01 11:00:00;25,37;0,0;6941,02
2030-01-01 12:00:00;29,45;0,0;6969,87
2030-01-01 13:00:00;29,7;0,0;6998,96
2030-01-01 14:00:00;28,6;0,0;7026,95
2030-01-01 15:00:00;27,15;0,0;7053,49
2030-01-01 16:00:00;27,94;0,0;7080,82
2030-01-01 17:00:00;27,73;0,0;7107,93
2030-01-01 18:00:00;27,29;0,0;7134,6
2030-01-01 19:00:00;26,45;0,0;7160,43
2030-01-01 20:00:00;25,91;0,0;7185,72
2030-01-01 21:00:00;25,0;0,0;7210,09
2030-01-01 22:00:00;24,04;0,0;7233,5
2030-01-01 23:00:00;23,04;0,0;7255,9
2030-01-02 00:00:00;22,36;0,0;7277,63
2030-01-02 01:00:00;21,7;0,0;7298,7
2030-01-02 02:00:00;21,42;0,0;7319,48
2030-01-02 03:00:00;21,19;0,0;7340,02
2030-01-02 04:00:00;8,12;0,0;7347,51
2030-01-02 05:00:00;20,85;0,0;7367,72
2030-01-02 06:00:00;20,73;0,0;7387,81
2030-01-02 07:00:00;20,04;0,0;7407,2
2030-01-02 08:00:00;19,08;0,0;7425,63
2030-01-02 09:00:00;20,92;0,0;7445,9
2030-01-02 10:00:00;25,52;0,0;7470,77
2030-01-02 11:00:00;32,65;0,0;7502,77
2030-01-02 12:00:00;37,71;0,0;7539,82
2030-01-02 13:00:00;39,52;0,0;7578,69
2030-01-02 14:00:00;37,99;0,0;7616,02
2030-01-02 15:00:00;36,98;0,0;7652,34
2030-01-02 16:00:00;38,12;0,0;7689,79
