;('District heating_n', 'Heat storage_n');('Heat storage_n', 'District heating_n');('Heat storage_n', 'None')
;flow;flow;storage_content
2030-01-01 00:00:00;0,0;0,28;6661,36
2030-01-01 01:00:00;0,0;7,01;6653,77
2030-01-01 02:00:00;0,0;12,59;6640,6
2030-01-01 03:00:00;0,0;17,23;6622,8
2030-01-01 04:00:00;0,0;20,88;6601,33
2030-01-01 05:00:00;0,0;24,13;6576,62
2030-01-01 06:00:00;0,0;26,67;6549,38
2030-01-01 07:00:00;0,0;29,16;6519,65
2030-01-01 08:00:00;0,0;31,5;6487,59
2030-01-01 09:00:00;0,0;32,55;6454,47
2030-01-01 10:00:00;0,0;32,02;6421,89
2030-01-01 11:00:00;0,0;29,83;6391,5
2030-01-01 12:00:00;0,0;28,17;6362,77
2030-01-01 13:00:00;0,0;28,42;6333,79
2030-01-01 14:00:00;0,0;30,13;6303,11
2030-01-01 15:00:00;0,0;31,21;6271,36
2030-01-01 16:00:00;0,0;30,35;6240,46
2030-01-01 17:00:00;0,0;30,08;6209,83
2030-01-01 18:00:00;0,0;30,12;6179,17
2030-01-01 19:00:00;0,0;30,15;6148,47
2030-01-01 20:00:00;0,0;30,18;6117,76
2030-01-01 21:00:00;0,0;29,98;6087,25
2030-01-01 22:00:00;0,0;29,97;6056,75
2030-01-01 23:00:00;0,0;29,96;6026,26
2030-01-02 00:00:00;0,0;29,73;5996,01
2030-01-02 01:00:00;0,0;29,69;5965,79
2030-01-02 02:00:00;0,0;29,22;5936,06
2030-01-02 03:00:00;0,0;28,69;5906,85
2030-01-02 04:00:00;0,0;28,35;5877,98
2030-01-02 05:00:00;0,0;28,01;5849,46
2030-01-02 06:00:00;0,0;27,66;5821,29
2030-01-02 07:00:00;0,0;27,68;5793,11
2030-01-02 08:00:00;0,0;28,11;5764,49
2030-01-02 09:00:00;0,0;27,33;5736,66
2030-01-02 10:00:00;0,0;25,4;5710,76
2030-01-02 11:00:00;0,0;22,47;5687,8
2030-01-02 12:00:00;0,0;19,6;5667,71
2030-01-02 13:00:00;0,0;18,73;5648,48
2030-01-02 14:00:00;0,0;19,4;5628,59
2030-01-02 15:00:00;0,0;19,72;5608,38
2030-01-02 16:00:00;0,0;18,41;5589,48
2030-01-02 17:00:00;0,0;18,44;5570,55
2030-01-02 18:00:00;0,0;18,72;5551,34
2030-01-02 19:00:00;0,0;19,31;5531,55
