;('District heating_s', 'Heat storage_s');('Heat storage_s', 'District heating_s');('Heat storage_s', 'None')
;flow;flow;storage_content
2030-01-01 00:00:00;6,13;0,0;3566,52
2030-01-01 01:00:00;0,0;1,36;3564,85
2030-01-01 02:00:00;0,0;7,79;3556,75
2030-01-01 03:00:00;0,0;12,72;3543,72
2030-01-01 04:00:00;0,0;16,77;3526,64
2030-01-01 05:00:00;0,0;20,36;3505,98
2030-01-01 06:00:00;0,0;23,16;3482,52
2030-01-01 07:00:00;0,0;25,89;3456,32
2030-01-01 08:00:00;0,0;28,44;3427,58
2030-01-01 09:00:00;0,0;29,61;3397,67
2030-01-01 10:00:00;0,0;29,34;3368,04
2030-01-01 11:00:00;0,0;27,09;3340,65
2030-01-01 12:00:00;0,0;25,62;3314,74
2030-01-01 13:00:00;0,0;25,96;3288,5
2030-01-01 14:00:00;0,0;27,57;3260,64
2030-01-01 15:00:00;0,0;28,5;3231,85
2030-01-01 16:00:00;0,0;27,82;3203,75
2030-01-01 17:00:00;0,0;27,55;3175,92
2030-01-01 18:00:00;0,0;27,61;3148,04
2030-01-01 19:00:00;0,0;27,66;3120,11
2030-01-01 20:00:00;0,0;27,69;3092,14
2030-01-01 21:00:00;0,0;27,72;3064,15
2030-01-01 22:00:00;0,0;27,75;3036,14
2030-01-01 23:00:00;0,0;27,77;3008,11
2030-01-02 00:00:00;0,0;27,54;2980,3
2030-01-02 01:00:00;0,0;27,53;2952,52
2030-01-02 02:00:00;0,0;26,8;2925,46
2030-01-02 03:00:00;0,0;26,46;2898,75
2030-01-02 04:00:00;0,0;26,11;2872,38
2030-01-02 05:00:00;0,0;25,76;2846,37
2030-01-02 06:00:00;0,0;25,4;2820,72
2030-01-02 07:00:00;0,0;25,43;2795,05
2030-01-02 08:00:00;0,0;25,65;2769,15
2030-01-02 09:00:00;0,0;24,8;2744,11
2030-01-02 10:00:00;0,0;22,97;2720,9
2030-01-02 11:00:00;0,0;19,87;2700,79
2030-01-02 12:00:00;0,0;16,84;2683,72
2030-01-02 13:00:00;0,0;15,93;2667,55
2030-01-02 14:00:00;0,0;16,64;2650,68
2030-01-02 15:00:00;0,0;16,98;2633,47
2030-01-02 16:00:00;0,0;15,6;2617,64
2030-01-02 17:00:00;0,0;15,64;2601,77
2030-01-02 18:00:00;0,0;15,94;2585,61
2030-01-02 19:00:00;0,0;16,56;2568,83
2030-01-02 20:00:00;0,0;17,05;2551,55
2030-01-02 21:00:00;0,0;17,6;2533,73
2030-01-02 22:00:00;0,0;18,42;2515,09
2030-01-02 23:00:00;0,0;19,08;2495,79
2030-01-03 00:00:00;0,0;21,19;2474,39
2030-01-03 01:00:00;0,0;23,72;2450,45
2030-01-03 02:00:00;0,0;26,21;2424,03
2030-01-03 03:00:00;0,0;28,09;2395,73
2030-01-03 04:00:00;0,0;29,98;2365,54
2030-01-03 05:00:00;0,0;31,65;2333,68
2030-01-03 06:00:00;0,0;33,29;2300,19
2030-01-03 07:00:00;0,0;35,07;2264,92
2030-01-03 08:00:00;0,0;36,28;2228,44
2030-01-03 09:00:00;0,0;33,18;2195,06
2030-01-03 10:00:00;0,0;27,86;2167,01
2030-01-03 11:00:00;0,0;21,47;2145,35
2030-01-03 12:00:00;0,0;16,71;2128,45
2030-01-03 13:00:00;0,0;14,95;2113,31
2030-01-03 14:00:00;0,0;15,66;2097,47
2030-01-03 15:00:00;0,0;17,59;2079,69
2030-01-03 16:00:00;0,0;19,17;2060,34
2030-01-03 17:00:00;0,0;20,49;2039,68
2030-01-03 18:00:00;0,0;22,44;2017,06
2030-01-03 19:00:00;0,0;24,46;1992,42
2030-01-03 20:00:00;0,0;26,31;1965,94
2030-01-03 21:00:00;0,0;28,41;1937,36
2030-01-03 22:00:00;0,0;30,32;1906,87
2030-01-03 23:00:00;0,0;32,47;1874,24
2030-01-04 00:00:00;0,0;33,93;1840,14
2030-01-04 01:00:00;0,0;35,58;1804,4
2030-01-04 02:00:00;0,0;37,21;1767,04
2030-01-04 03:00:00;0,0;38,58;1728,3
2030-01-04 04:00:00;0,0;39,92;1688,23
2030-01-04 05:00:00;0,0;41,22;1646,87
2030-01-04 06:00:00;0,0;42,49;1604,24
2030-01-04 07:00:00;0,0;44,13;1559,96
2030-01-04 08:00:00;0,0;45,48;1514,35
2030-01-04 09:00:00;0,0;42,34;1471,87
2030-01-04 10:00:00;0,0;38,01;1433,74
2030-01-04 11:00:00;0,0;32,45;1401,16
2030-01-04 12:00:00;0,0;28,35;1372,69
2030-01-04 13:00:00;0,0;27,05;1345,52
2030-01-04 14:00:00;0,0;28,4;1317,0
2030-01-04 15:00:00;0,0;30,57;1286,32
2030-01-04 16:00:00;0,0;32,33;1253,88
2030-01-04 17:00:00;0,0;32,12;1221,64
2030-01-04 18:00:00;0,0;32,33;1189,21
2030-01-04 19:00:00;0,0;32,41;1156,69
2030-01-04 20:00:00;0,0;32,41;1124,18
2030-01-04 21:00:00;0,0;32,34;1091,75
2030-01-04 22:00:00;0,0;32,2;1059,45
2030-01-04 23:00:00;0,0;32,01;1027,35
2030-01-05 00:00:00;0,0;30,84;996,42
2030-01-05 01:00:00;0,0;29,27;967,06
2030-01-05 02:00:00;0,0;27,56;939,42
2030-01-05 03:00:00;0,0;26,45;912,88
2030-01-05 04:00:00;0,0;25,09;887,71
2030-01-05 05:00:00;0,0;23,93;863,7
2030-01-05 06:00:00;0,0;22,78;840,85
2030-01-05 07:00:00;0,0;21,62;819,16
2030-01-05 08:00:00;0,0;20,7;798,39
2030-01-05 09:00:00;0,0;18,85;779,47
2030-01-05 10:00:00;0,0;15,95;763,45
2030-01-05 11:00:00;0,0;11,68;751,71
2030-01-05 12:00:00;0,0;8,3;743,35
2030-01-05 13:00:00;0,0;5,02;738,26
2030-01-05 14:00:00;0,0;3,67;734,52
2030-01-05 15:00:00;0,0;3,15;731,31
2030-01-05 16:00:00;0,0;4,63;726,62
2030-01-05 17:00:00;0,0;3,61;722,94
2030-01-05 18:00:00;0,0;2,8;720,08
2030-01-05 19:00:00;0,0;2,24;717,77
2030-01-05 20:00:00;0,0;1,47;716,24
2030-01-05 21:00:00;0,0;0,71;715,47
2030-01-05 22:00:00;0,06;0,0;715,47
2030-01-05 23:00:00;0,6;0,0;716,01
2030-01-06 00:00:00;0,38;0,0;716,33
2030-01-06 01:00:00;0,0;0,18;716,09
2030-01-06 02:00:00;0,0;0,61;715,41
2030-01-06 03:00:00;0,0;1,12;714,23
2030-01-06 04:00:00;0,0;1,43;712,73
2030-01-06 05:00:00;0,0;1,76;710,91
2030-01-06 06:00:00;0,0;2,1;708,75
2030-01-06 07:00:00;0,0;2,21;706,47
2030-01-06 08:00:00;0,0;1,82;704,59
2030-01-06 09:00:00;3,52;0,0;708,04
2030-01-06 10:00:00;8,91;0,0;716,89
2030-01-06 11:00:00;14,36;0,0;731,18
2030-01-06 12:00:00;18,57;0,0;749,69
2030-01-06 13:00:00;21,42;0,0;771,04
2030-01-06 14:00:00;22,37;0,0;793,35
2030-01-06 15:00:00;20,93;0,0;814,21
2030-01-06 16:00:00;17,89;0,0;832,03
2030-01-06 17:00:00;16,94;0,0;848,9
2030-01-06 18:00:00;15,71;0,0;864,54
2030-01-06 19:00:00;14,66;0,0;879,13
2030-01-06 20:00:00;13,59;0,0;892,64
2030-01-06 21:00:00;12,26;0,0;904,82
2030-01-06 22:00:00;11,13;0,0;915,87
2030-01-06 23:00:00;9,99;0,0;925,79
2030-01-07 00:00:00;8,61;0,0;934,31
2030-01-07 01:00:00;7,2;0,0;941,43
2030-01-07 02:00:00;5,52;0,0;946,86
2030-01-07 03:00:00;4,5;0,0;951,28
2030-01-07 04:00:00;3,54;0,0;954,74
2030-01-07 05:00:00;2,37;0,0;957,03
2030-01-07 06:00:00;1,68;0,0;958,63
2030-01-07 07:00:00;0,42;0,0;958,96
2030-01-07 08:00:00;0,0;1,03;957,85
2030-01-07 09:00:00;0,0;2,1;955,67
2030-01-07 10:00:00;0,0;2,03;953,56
2030-01-07 11:00:00;0,0;0,5;952,98
2030-01-07 12:00:00;0,26;0,0;953,16
2030-01-07 13:00:00;3,05;0,0;956,12
2030-01-07 14:00:00;3,42;0,0;959,45
2030-01-07 15:00:00;3,79;0,0;963,16
2030-01-07 16:00:00;4,75;0,0;967,83
2030-01-07 17:00:00;4,76;0,0;972,5
2030-01-07 18:00:00;4,1;0,0;976,52
2030-01-07 19:00:00;3,59;0,0;980,02
2030-01-07 20:00:00;2,78;0,0;982,72
2030-01-07 21:00:00;2,15;0,0;984,78
2030-01-07 22:00:00;1,25;0,0;985,94
2030-01-07 23:00:00;0,53;0,0;986,38
2030-01-08 00:00:00;0,0;0,19;986,11
2030-01-08 01:00:00;0,0;0,68;985,34
2030-01-08 02:00:00;0,0;1,16;984,1
2030-01-08 03:00:00;0,0;1,61;982,4
2030-01-08 04:00:00;0,0;1,82;980,49
2030-01-08 05:00:00;0,0;2,22;978,18
2030-01-08 06:00:00;0,0;2,38;975,71
2030-01-08 07:00:00;0,0;3,15;972,48
2030-01-08 08:00:00;0,0;3,87;968,52
2030-01-08 09:00:00;0,0;4,22;964,22
2030-01-08 10:00:00;0,0;3,42;960,72
2030-01-08 11:00:00;0,0;0,66;959,98
2030-01-08 12:00:00;1,39;0,0;961,28
2030-01-08 13:00:00;5,47;0,0;966,67
2030-01-08 14:00:00;7,85;0,0;974,43
2030-01-08 15:00:00;9,17;0,0;983,51
2030-01-08 16:00:00;9,61;0,0;993,03
2030-01-08 17:00:00;9,8;0,0;1002,75
2030-01-08 18:00:00;9,77;0,0;1012,43
2030-01-08 19:00:00;9,67;0,0;1022,01
2030-01-08 20:00:00;9,27;0,0;1031,19
2030-01-08 21:00:00;9,04;0,0;1040,15
2030-01-08 22:00:00;8,79;0,0;1048,84
2030-01-08 23:00:00;0,0;28,94;1019,81
2030-01-09 00:00:00;0,0;38,28;981,45
2030-01-09 01:00:00;0,0;40,05;941,31
2030-01-09 02:00:00;0,0;44,13;897,09
2030-01-09 03:00:00;0,0;50,3;846,72
2030-01-09 04:00:00;0,0;54,17;792,47
2030-01-09 05:00:00;0,0;59,6;732,8
2030-01-09 06:00:00;0,0;60,05;672,69
2030-01-09 07:00:00;0,0;61,12;611,51
2030-01-09 08:00:00;0,0;62,16;549,3
2030-01-09 09:00:00;0,41;0,0;549,65
2030-01-09 10:00:00;0,0;29,94;519,66
2030-01-09 11:00:00;0,0;50,11;469,51
2030-01-09 12:00:00;2,57;0,0;472,04
2030-01-09 13:00:00;0,0;57,14;414,86
2030-01-09 14:00:00;0,0;35,41;379,42
2030-01-09 15:00:00;0,0;0,7;378,69
2030-01-09 16:00:00;0,95;0,0;379,6
2030-01-09 17:00:00;2,06;0,0;381,63
2030-01-09 18:00:00;2,19;0,0;383,78
2030-01-09 19:00:00;3,01;0,0;386,76
2030-01-09 20:00:00;2,71;0,0;389,43
2030-01-09 21:00:00;4,46;0,0;393,86
2030-01-09 22:00:00;5,2;0,0;399,03
2030-01-09 23:00:00;5,95;0,0;404,95
2030-01-10 00:00:00;6,47;0,0;411,38
2030-01-10 01:00:00;6,96;0,0;418,31
2030-01-10 02:00:00;8,15;0,0;426,42
2030-01-10 03:00:00;8,93;0,0;435,31
2030-01-10 04:00:00;9,47;0,0;444,74
2030-01-10 05:00:00;9,98;0,0;454,68
2030-01-10 06:00:00;10,46;0,0;465,1
2030-01-10 07:00:00;10,54;0,0;475,6
2030-01-10 08:00:00;10,16;0,0;485,72
2030-01-10 09:00:00;10,81;0,0;496,49
2030-01-10 10:00:00;12,64;0,0;509,09
2030-01-10 11:00:00;15,98;0,0;525,02
2030-01-10 12:00:00;18,56;0,0;543,54
2030-01-10 13:00:00;18,97;0,0;562,46
2030-01-10 14:00:00;18,17;0,0;580,58
2030-01-10 15:00:00;17,76;0,0;598,29
2030-01-10 16:00:00;19,33;0,0;617,57
2030-01-10 17:00:00;19,75;0,0;637,26
2030-01-10 18:00:00;19,74;0,0;656,95
2030-01-10 19:00:00;18,46;0,0;675,35
2030-01-10 20:00:00;19,13;0,0;694,42
2030-01-10 21:00:00;19,18;0,0;713,54
2030-01-10 22:00:00;18,98;0,0;732,46
2030-01-10 23:00:00;18,51;0,0;750,91
2030-01-11 00:00:00;17,98;0,0;768,82
2030-01-11 01:00:00;17,16;0,0;785,91
2030-01-11 02:00:00;16,28;0,0;802,12
2030-01-11 03:00:00;15,58;0,0;817,62
2030-01-11 04:00:00;15,1;0,0;832,66
2030-01-11 05:00:00;14,41;0,0;846,99
2030-01-11 06:00:00;13,94;0,0;860,85
2030-01-11 07:00:00;13,09;0,0;873,86
2030-01-11 08:00:00;12,05;0,0;885,84
2030-01-11 09:00:00;11,15;0,0;896,91
2030-01-11 10:00:00;12,06;0,0;908,89
2030-01-11 11:00:00;14,27;0,0;923,08
2030-01-11 12:00:00;15,72;0,0;938,72
2030-01-11 13:00:00;15,46;0,0;954,1
2030-01-11 14:00:00;14,3;0,0;968,32
2030-01-11 15:00:00;13,83;0,0;982,06
2030-01-11 16:00:00;15,42;0,0;997,4
2030-01-11 17:00:00;14,98;0,0;1012,3
2030-01-11 18:00:00;14,06;0,0;1026,27
2030-01-11 19:00:00;12,77;0,0;1038,95
2030-01-11 20:00:00;12,79;0,0;1051,65
2030-01-11 21:00:00;11,69;0,0;1063,24
2030-01-11 22:00:00;10,98;0,0;1074,13
2030-01-11 23:00:00;10,02;0,0;1084,05
2030-01-12 00:00:00;8,78;0,0;1092,73
2030-01-12 01:00:00;7,24;0,0;1099,88
2030-01-12 02:00:00;6,34;0,0;1106,13
2030-01-12 03:00:00;5,47;0,0;1111,5
2030-01-12 04:00:00;4,62;0,0;1116,02
2030-01-12 05:00:00;3,78;0,0;1119,7
2030-01-12 06:00:00;2,95;0,0;1122,56
2030-01-12 07:00:00;2,37;0,0;1124,83
2030-01-12 08:00:00;2,31;0,0;1127,05
2030-01-12 09:00:00;4,01;0,0;1130,96
2030-01-12 10:00:00;5,26;0,0;1136,12
2030-01-12 11:00:00;6,88;0,0;1142,9
2030-01-12 12:00:00;7,92;0,0;1150,72
2030-01-12 13:00:00;8,74;0,0;1159,36
2030-01-12 14:00:00;9,32;0,0;1168,58
2030-01-12 15:00:00;9,28;0,0;1177,75
2030-01-12 16:00:00;8,2;0,0;1185,86
2030-01-12 17:00:00;7,72;0,0;1193,47
2030-01-12 18:00:00;7,18;0,0;1200,55
2030-01-12 19:00:00;6,59;0,0;1207,03
2030-01-12 20:00:00;5,97;0,0;1212,9
2030-01-12 21:00:00;5,08;0,0;1217,87
2030-01-12 22:00:00;4,38;0,0;1222,14
2030-01-12 23:00:00;3,66;0,0;1225,69
2030-01-13 00:00:00;3,41;0,0;1228,99
2030-01-13 01:00:00;3,21;0,0;1232,09
2030-01-13 02:00:00;3,04;0,0;1235,02
2030-01-13 03:00:00;3,15;0,0;1238,06
2030-01-13 04:00:00;3,31;0,0;1241,27
2030-01-13 05:00:00;3,28;0,0;1244,44
2030-01-13 06:00:00;3,49;0,0;1247,81
2030-01-13 07:00:00;3,73;0,0;1251,44
2030-01-13 08:00:00;4,72;0,0;1256,05
2030-01-13 09:00:00;11,66;0,0;1267,61
2030-01-13 10:00:00;19,14;0,0;1286,64
2030-01-13 11:00:00;27,06;0,0;1313,59
2030-01-13 12:00:00;32,45;0,0;1345,93
2030-01-13 13:00:00;32,62;0,0;1378,43
2030-01-13 14:00:00;34,17;0,0;1412,48
2030-01-13 15:00:00;35,85;0,0;1448,2
2030-01-13 16:00:00;32,48;0,0;1480,56
