;('Import_Oil_e', 'Oil_fuel_e');('Import_Synthetic_fuel_e', 'Oil_fuel_e');('Oil_fuel_e', 'Material_demand_Oil_e');('Oil_fuel_e', 'Mobility_demand_total_e');('Oil_fuel_e', 'Oil_demand_total_e');('Oil_fuel_e', 'excess_b_oil_fuel_e');('PtL_e', 'Oil_fuel_e')
;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;550,51;0,0;26,18;485,24;39,09;0,0;0,0
2030-01-01 01:00:00;555,72;0,0;26,18;485,24;44,3;0,0;0,0
2030-01-01 02:00:00;560,64;0,0;26,18;485,24;49,22;0,0;0,0
2030-01-01 03:00:00;564,28;0,0;26,18;485,24;52,86;0,0;0,0
2030-01-01 04:00:00;567,31;0,0;26,18;485,24;55,89;0,0;0,0
2030-01-01 05:00:00;570,17;0,0;26,18;485,24;58,75;0,0;0,0
2030-01-01 06:00:00;572,36;0,0;26,18;485,24;60,94;0,0;0,0
2030-01-01 07:00:00;574,42;0,0;26,18;485,24;63,0;0,0;0,0
2030-01-01 08:00:00;576,44;0,0;26,18;485,24;65,02;0,0;0,0
2030-01-01 09:00:00;577,43;0,0;26,18;485,24;66,0;0,0;0,0
2030-01-01 10:00:00;576,41;0,0;26,18;485,24;64,99;0,0;0,0
2030-01-01 11:00:00;572,6;0,0;26,18;485,24;61,18;0,0;0,0
2030-01-01 12:00:00;570,17;0,0;26,18;485,24;58,75;0,0;0,0
2030-01-01 13:00:00;570,23;0,0;26,18;485,24;58,81;0,0;0,0
2030-01-01 14:00:00;573,6;0,0;26,18;485,24;62,18;0,0;0,0
2030-01-01 15:00:00;575,38;0,0;26,18;485,24;63,96;0,0;0,0
2030-01-01 16:00:00;573,92;0,0;26,18;485,24;62,5;0,0;0,0
2030-01-01 17:00:00;573,85;0,0;26,18;485,24;62,42;0,0;0,0
2030-01-01 18:00:00;574,55;0,0;26,18;485,24;63,13;0,0;0,0
2030-01-01 19:00:00;575,32;0,0;26,18;485,24;63,9;0,0;0,0
2030-01-01 20:00:00;576,13;0,0;26,18;485,24;64,71;0,0;0,0
2030-01-01 21:00:00;576,99;0,0;26,18;485,24;65,57;0,0;0,0
2030-01-01 22:00:00;577,88;0,0;26,18;485,24;66,46;0,0;0,0
2030-01-01 23:00:00;578,79;0,0;26,18;485,24;67,37;0,0;0,0
2030-01-02 00:00:00;579,72;0,0;26,18;485,24;68,3;0,0;0,0
2030-01-02 01:00:00;580,67;0,0;26,18;485,24;69,25;0,0;0,0
2030-01-02 02:00:00;581,64;0,0;26,18;485,24;70,22;0,0;0,0
2030-01-02 03:00:00;582,3;0,0;26,18;485,24;70,88;0,0;0,0
2030-01-02 04:00:00;582,93;0,0;26,18;485,24;71,51;0,0;0,0
2030-01-02 05:00:00;583,54;0,0;26,18;485,24;72,12;0,0;0,0
2030-01-02 06:00:00;584,13;0,0;26,18;485,24;72,71;0,0;0,0
2030-01-02 07:00:00;584,91;0,0;26,18;485,24;73,49;0,0;0,0
2030-01-02 08:00:00;585,89;0,0;26,18;485,24;74,46;0,0;0,0
2030-01-02 09:00:00;583,28;0,0;26,18;485,24;71,86;0,0;0,0
2030-01-02 10:00:00;581,4;0,0;26,18;485,24;69,98;0,0;0,0
2030-01-02 11:00:00;577,8;0,0;26,18;485,24;66,38;0,0;0,0
2030-01-02 12:00:00;572,72;0,0;26,18;485,24;61,3;0,0;0,0
2030-01-02 13:00:00;572,9;0,0;26,18;485,24;61,48;0,0;0,0
2030-01-02 14:00:00;572,92;0,0;26,18;485,24;61,5;0,0;0,0
2030-01-02 15:00:00;572,76;0,0;26,18;485,24;61,33;0,0;0,0
2030-01-02 16:00:00;571,91;0,0;26,18;485,24;60,49;0,0;0,0
2030-01-02 17:00:00;572,47;0,0;26,18;485,24;61,05;0,0;0,0
2030-01-02 18:00:00;573,67;0,0;26,18;485,24;62,25;0,0;0,0
2030-01-02 19:00:00;575,03;0,0;26,18;485,24;63,61;0,0;0,0
2030-01-02 20:00:00;576,84;0,0;26,18;485,24;65,42;0,0;0,0
2030-01-02 21:00:00;578,48;0,0;26,18;485,24;67,06;0,0;0,0
2030-01-02 22:00:00;580,2;0,0;26,18;485,24;68,77;0,0;0,0
2030-01-02 23:00:00;581,98;0,0;26,18;485,24;70,55;0,0;0,0
2030-01-03 00:00:00;583,81;0,0;26,18;485,24;72,39;0,0;0,0
2030-01-03 01:00:00;585,99;0,0;26,18;485,24;74,57;0,0;0,0
2030-01-03 02:00:00;588,25;0,0;26,18;485,24;76,82;0,0;0,0
2030-01-03 03:00:00;589,93;0,0;26,18;485,24;78,51;0,0;0,0
2030-01-03 04:00:00;591,28;0,0;26,18;485,24;79,86;0,0;0,0
2030-01-03 05:00:00;592,87;0,0;26,18;485,24;81,45;0,0;0,0
2030-01-03 06:00:00;593,83;0,0;26,18;485,24;82,41;0,0;0,0
2030-01-03 07:00:00;595,53;0,0;26,18;485,24;84,11;0,0;0,0
2030-01-03 08:00:00;597,14;0,0;26,18;485,24;85,71;0,0;0,0
2030-01-03 09:00:00;596,63;0,0;26,18;485,24;85,21;0,0;0,0
2030-01-03 10:00:00;593,05;0,0;26,18;485,24;81,63;0,0;0,0
2030-01-03 11:00:00;588,16;0,0;26,18;485,24;76,74;0,0;0,0
2030-01-03 12:00:00;581,32;0,0;26,18;485,24;69,9;0,0;0,0
2030-01-03 13:00:00;577,82;0,0;26,18;485,24;66,4;0,0;0,0
2030-01-03 14:00:00;577,87;0,0;26,18;485,24;66,45;0,0;0,0
2030-01-03 15:00:00;578,89;0,0;26,18;485,24;67,47;0,0;0,0
2030-01-03 16:00:00;579,4;0,0;26,18;485,24;67,97;0,0;0,0
