;('Import_Oil_m', 'Oil_fuel_m');('Import_Synthetic_fuel_m', 'Oil_fuel_m');('Oil_fuel_m', 'Material_demand_Oil_m');('Oil_fuel_m', 'Mobility_demand_total_m');('Oil_fuel_m', 'Oil_demand_total_m');('Oil_fuel_m', 'excess_b_oil_fuel_m');('PtL_m', 'Oil_fuel_m')
;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;576,91;0,0;25,45;519,15;32,31;0,0;0,0
2030-01-01 01:00:00;581,76;0,0;25,45;519,15;37,16;0,0;0,0
2030-01-01 02:00:00;586,21;0,0;25,45;519,15;41,61;0,0;0,0
2030-01-01 03:00:00;589,32;0,0;25,45;519,15;44,72;0,0;0,0
2030-01-01 04:00:00;592,19;0,0;25,45;519,15;47,59;0,0;0,0
2030-01-01 05:00:00;594,67;0,0;25,45;519,15;50,07;0,0;0,0
2030-01-01 06:00:00;596,85;0,0;25,45;519,15;52,25;0,0;0,0
2030-01-01 07:00:00;598,95;0,0;25,45;519,15;54,35;0,0;0,0
2030-01-01 08:00:00;601,05;0,0;25,45;519,15;56,45;0,0;0,0
2030-01-01 09:00:00;600,79;0,0;25,45;519,15;56,19;0,0;0,0
2030-01-01 10:00:00;599,31;0,0;25,45;519,15;54,71;0,0;0,0
2030-01-01 11:00:00;596,08;0,0;25,45;519,15;51,48;0,0;0,0
2030-01-01 12:00:00;592,98;0,0;25,45;519,15;48,38;0,0;0,0
2030-01-01 13:00:00;592,79;0,0;25,45;519,15;48,2;0,0;0,0
2030-01-01 14:00:00;593,62;0,0;25,45;519,15;49,03;0,0;0,0
2030-01-01 15:00:00;594,72;0,0;25,45;519,15;50,13;0,0;0,0
2030-01-01 16:00:00;594,13;0,0;25,45;519,15;49,53;0,0;0,0
2030-01-01 17:00:00;594,28;0,0;25,45;519,15;49,69;0,0;0,0
2030-01-01 18:00:00;594,62;0,0;25,45;519,15;50,02;0,0;0,0
2030-01-01 19:00:00;595,26;0,0;25,45;519,15;50,66;0,0;0,0
2030-01-01 20:00:00;595,67;0,0;25,45;519,15;51,07;0,0;0,0
2030-01-01 21:00:00;596,36;0,0;25,45;519,15;51,76;0,0;0,0
2030-01-01 22:00:00;597,08;0,0;25,45;519,15;52,49;0,0;0,0
2030-01-01 23:00:00;597,85;0,0;25,45;519,15;53,25;0,0;0,0
2030-01-02 00:00:00;598,36;0,0;25,45;519,15;53,76;0,0;0,0
2030-01-02 01:00:00;598,86;0,0;25,45;519,15;54,26;0,0;0,0
2030-01-02 02:00:00;599,07;0,0;25,45;519,15;54,48;0,0;0,0
2030-01-02 03:00:00;599,25;0,0;25,45;519,15;54,65;0,0;0,0
2030-01-02 04:00:00;599,39;0,0;25,45;519,15;54,79;0,0;0,0
2030-01-02 05:00:00;599,5;0,0;25,45;519,15;54,9;0,0;0,0
2030-01-02 06:00:00;599,59;0,0;25,45;519,15;55,0;0,0;0,0
2030-01-02 07:00:00;600,12;0,0;25,45;519,15;55,52;0,0;0,0
2030-01-02 08:00:00;600,85;0,0;25,45;519,15;56,25;0,0;0,0
2030-01-02 09:00:00;599,45;0,0;25,45;519,15;54,86;0,0;0,0
2030-01-02 10:00:00;595,96;0,0;25,45;519,15;51,36;0,0;0,0
2030-01-02 11:00:00;590,56;0,0;25,45;519,15;45,96;0,0;0,0
2030-01-02 12:00:00;586,72;0,0;25,45;519,15;42,12;0,0;0,0
2030-01-02 13:00:00;585,34;0,0;25,45;519,15;40,75;0,0;0,0
2030-01-02 14:00:00;586,5;0,0;25,45;519,15;41,91;0,0;0,0
2030-01-02 15:00:00;587,27;0,0;25,45;519,15;42,67;0,0;0,0
2030-01-02 16:00:00;586,41;0,0;25,45;519,15;41,81;0,0;0,0
2030-01-02 17:00:00;586,61;0,0;25,45;519,15;42,01;0,0;0,0
2030-01-02 18:00:00;587,06;0,0;25,45;519,15;42,47;0,0;0,0
2030-01-02 19:00:00;587,88;0,0;25,45;519,15;43,28;0,0;0,0
2030-01-02 20:00:00;588,79;0,0;25,45;519,15;44,19;0,0;0,0
2030-01-02 21:00:00;589,52;0,0;25,45;519,15;44,92;0,0;0,0
2030-01-02 22:00:00;590,55;0,0;25,45;519,15;45,95;0,0;0,0
2030-01-02 23:00:00;591,64;0,0;25,45;519,15;47,04;0,0;0,0
2030-01-03 00:00:00;593,05;0,0;25,45;519,15;48,45;0,0;0,0
2030-01-03 01:00:00;594,26;0,0;25,45;519,15;49,66;0,0;0,0
2030-01-03 02:00:00;596,04;0,0;25,45;519,15;51,44;0,0;0,0
2030-01-03 03:00:00;597,09;0,0;25,45;519,15;52,49;0,0;0,0
2030-01-03 04:00:00;598,11;0,0;25,45;519,15;53,51;0,0;0,0
2030-01-03 05:00:00;599,1;0,0;25,45;519,15;54,5;0,0;0,0
2030-01-03 06:00:00;600,08;0,0;25,45;519,15;55,48;0,0;0,0
2030-01-03 07:00:00;601,21;0,0;25,45;519,15;56,61;0,0;0,0
2030-01-03 08:00:00;601,97;0,0;25,45;519,15;57,38;0,0;0,0
2030-01-03 09:00:00;600,04;0,0;25,45;519,15;55,45;0,0;0,0
2030-01-03 10:00:00;597,04;0,0;25,45;519,15;52,44;0,0;0,0
2030-01-03 11:00:00;589,75;0,0;25,45;519,15;45,16;0,0;0,0
2030-01-03 12:00:00;586,51;0,0;25,45;519,15;41,92;0,0;0,0
2030-01-03 13:00:00;588,24;0,0;25,45;519,15;43,64;0,0;0,0
2030-01-03 14:00:00;590,32;0,0;25,45;519,15;45,72;0,0;0,0
2030-01-03 15:00:00;591,49;0,0;25,45;519,15;46,9;0,0;0,0
2030-01-03 16:00:00;591,32;0,0;25,45;519,15;46,72;0,0;0,0
2030-01-03 17:00:00;591,59;0,0;25,45;519,15;46,99;0,0;0,0
2030-01-03 18:00:00;592,29;0,0;25,45;519,15;47,69;0,0;0,0
2030-01-03 19:00:00;593,03;0,0;25,45;519,15;48,43;0,0;0,0
2030-01-03 20:00:00;593,79;0,0;25,45;519,15;49,2;0,0;0,0
2030-01-03 21:00:00;594,31;0,0;25,45;519,15;49,72;0,0;0,0
2030-01-03 22:00:00;595,09;0,0;25,45;519,15;50,49;0,0;0,0
