;('Import_Oil_n', 'Oil_fuel_n');('Import_Synthetic_fuel_n', 'Oil_fuel_n');('Oil_fuel_n', 'Material_demand_Oil_n');('Oil_fuel_n', 'Mobility_demand_total_n');('Oil_fuel_n', 'Oil_demand_total_n');('Oil_fuel_n', 'excess_b_oil_fuel_n');('PtL_n', 'Oil_fuel_n')
;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;321,29;0,0;15,8;265,84;39,65;0,0;0,0
2030-01-01 01:00:00;326,4;0,0;15,8;265,84;44,76;0,0;0,0
2030-01-01 02:00:00;330,63;0,0;15,8;265,84;48,99;0,0;0,0
2030-01-01 03:00:00;334,15;0,0;15,8;265,84;52,5;0,0;0,0
2030-01-01 04:00:00;336,92;0,0;15,8;265,84;55,28;0,0;0,0
2030-01-01 05:00:00;339,38;0,0;15,8;265,84;57,74;0,0;0,0
2030-01-01 06:00:00;341,31;0,0;15,8;265,84;59,66;0,0;0,0
2030-01-01 07:00:00;343,2;0,0;15,8;265,84;61,55;0,0;0,0
2030-01-01 08:00:00;344,97;0,0;15,8;265,84;63,33;0,0;0,0
2030-01-01 09:00:00;345,77;0,0;15,8;265,84;64,12;0,0;0,0
2030-01-01 10:00:00;345,36;0,0;15,8;265,84;63,72;0,0;0,0
2030-01-01 11:00:00;343,71;0,0;15,8;265,84;62,06;0,0;0,0
2030-01-01 12:00:00;342,45;0,0;15,8;265,84;60,8;0,0;0,0
2030-01-01 13:00:00;342,64;0,0;15,8;265,84;60,99;0,0;0,0
2030-01-01 14:00:00;343,93;0,0;15,8;265,84;62,29;0,0;0,0
2030-01-01 15:00:00;344,75;0,0;15,8;265,84;63,11;0,0;0,0
2030-01-01 16:00:00;344,1;0,0;15,8;265,84;62,46;0,0;0,0
2030-01-01 17:00:00;343,9;0,0;15,8;265,84;62,25;0,0;0,0
2030-01-01 18:00:00;343,93;0,0;15,8;265,84;62,28;0,0;0,0
2030-01-01 19:00:00;343,95;0,0;15,8;265,84;62,31;0,0;0,0
2030-01-01 20:00:00;343,97;0,0;15,8;265,84;62,33;0,0;0,0
2030-01-01 21:00:00;343,82;0,0;15,8;265,84;62,17;0,0;0,0
2030-01-01 22:00:00;343,81;0,0;15,8;265,84;62,17;0,0;0,0
2030-01-01 23:00:00;343,8;0,0;15,8;265,84;62,16;0,0;0,0
2030-01-02 00:00:00;343,63;0,0;15,8;265,84;61,98;0,0;0,0
2030-01-02 01:00:00;343,6;0,0;15,8;265,84;61,96;0,0;0,0
2030-01-02 02:00:00;343,24;0,0;15,8;265,84;61,6;0,0;0,0
2030-01-02 03:00:00;342,84;0,0;15,8;265,84;61,2;0,0;0,0
2030-01-02 04:00:00;342,58;0,0;15,8;265,84;60,94;0,0;0,0
2030-01-02 05:00:00;342,32;0,0;15,8;265,84;60,68;0,0;0,0
2030-01-02 06:00:00;342,06;0,0;15,8;265,84;60,41;0,0;0,0
2030-01-02 07:00:00;342,07;0,0;15,8;265,84;60,43;0,0;0,0
2030-01-02 08:00:00;342,4;0,0;15,8;265,84;60,76;0,0;0,0
2030-01-02 09:00:00;341,81;0,0;15,8;265,84;60,16;0,0;0,0
2030-01-02 10:00:00;340,34;0,0;15,8;265,84;58,7;0,0;0,0
2030-01-02 11:00:00;338,12;0,0;15,8;265,84;56,48;0,0;0,0
2030-01-02 12:00:00;335,95;0,0;15,8;265,84;54,3;0,0;0,0
2030-01-02 13:00:00;335,29;0,0;15,8;265,84;53,65;0,0;0,0
2030-01-02 14:00:00;335,79;0,0;15,8;265,84;54,15;0,0;0,0
2030-01-02 15:00:00;336,04;0,0;15,8;265,84;54,39;0,0;0,0
2030-01-02 16:00:00;335,04;0,0;15,8;265,84;53,4;0,0;0,0
2030-01-02 17:00:00;335,07;0,0;15,8;265,84;53,43;0,0;0,0
2030-01-02 18:00:00;335,28;0,0;15,8;265,84;53,64;0,0;0,0
2030-01-02 19:00:00;335,73;0,0;15,8;265,84;54,08;0,0;0,0
2030-01-02 20:00:00;336,07;0,0;15,8;265,84;54,43;0,0;0,0
2030-01-02 21:00:00;336,46;0,0;15,8;265,84;54,82;0,0;0,0
2030-01-02 22:00:00;337,05;0,0;15,8;265,84;55,41;0,0;0,0
2030-01-02 23:00:00;337,52;0,0;15,8;265,84;55,87;0,0;0,0
2030-01-03 00:00:00;339,02;0,0;15,8;265,84;57,38;0,0;0,0
2030-01-03 01:00:00;340,84;0,0;15,8;265,84;59,2;0,0;0,0
2030-01-03 02:00:00;342,78;0,0;15,8;265,84;61,14;0,0;0,0
2030-01-03 03:00:00;344,15;0,0;15,8;265,84;62,51;0,0;0,0
2030-01-03 04:00:00;345,52;0,0;15,8;265,84;63,87;0,0;0,0
2030-01-03 05:00:00;346,72;0,0;15,8;265,84;65,07;0,0;0,0
2030-01-03 06:00:00;347,9;0,0;15,8;265,84;66,26;0,0;0,0
2030-01-03 07:00:00;349,18;0,0;15,8;265,84;67,54;0,0;0,0
2030-01-03 08:00:00;350,05;0,0;15,8;265,84;68,41;0,0;0,0
2030-01-03 09:00:00;347,18;0,0;15,8;265,84;65,53;0,0;0,0
2030-01-03 10:00:00;343,56;0,0;15,8;265,84;61,91;0,0;0,0
2030-01-03 11:00:00;338,81;0,0;15,8;265,84;57,17;0,0;0,0
2030-01-03 12:00:00;335,04;0,0;15,8;265,84;53,4;0,0;0,0
2030-01-03 13:00:00;333,78;0,0;15,8;265,84;52,14;0,0;0,0
2030-01-03 14:00:00;334,43;0,0;15,8;265,84;52,78;0,0;0,0
2030-01-03 15:00:00;336,01;0,0;15,8;265,84;54,37;0,0;0,0
2030-01-03 16:00:00;337,09;0,0;15,8;265,84;55,45;0,0;0,0
2030-01-03 17:00:00;338,19;0,0;15,8;265,84;56,55;0,0;0,0
2030-01-03 18:00:00;339,6;0,0;15,8;265,84;57,96;0,0;0,0
2030-01-03 19:00:00;341,06;0,0;15,8;265,84;59,41;0,0;0,0
2030-01-03 20:00:00;342,72;0,0;15,8;265,84;61,08;0,0;0,0
2030-01-03 21:00:00;344,27;0,0;15,8;265,84;62,63;0,0;0,0
2030-01-03 22:00:00;345,84;0,0;15,8;265,84;64,19;0,0;0,0
2030-01-03 23:00:00;347,42;0,0;15,8;265,84;65,78;0,0;0,0
2030-01-04 00:00:00;348,68;0,0;15,8;265,84;67,04;0,0;0,0
2030-01-04 01:00:00;350,25;0,0;15,8;265,84;68,61;0,0;0,0
2030-01-04 02:00:00;351,84;0,0;15,8;265,84;70,2;0,0;0,0
2030-01-04 03:00:00;352,93;0,0;15,8;265,84;71,29;0,0;0,0
2030-01-04 04:00:00;354,14;0,0;15,8;265,84;72,5;0,0;0,0
2030-01-04 05:00:00;355,33;0,0;15,8;265,84;73,69;0,0;0,0
