;('Import_Oil_s', 'Oil_fuel_s');('Import_Synthetic_fuel_s', 'Oil_fuel_s');('Oil_fuel_s', 'Material_demand_Oil_s');('Oil_fuel_s', 'Mobility_demand_total_s');('Oil_fuel_s', 'Oil_demand_total_s');('Oil_fuel_s', 'excess_b_oil_fuel_s');('PtL_s', 'Oil_fuel_s')
;flow;flow;flow;flow;flow;flow;flow
2030-01-01 00:00:00;385,52;0,0;19,61;321,87;44,04;0,0;0,0
2030-01-01 01:00:00;391,2;0,0;19,61;321,87;49,72;0,0;0,0
2030-01-01 02:00:00;396,07;0,0;19,61;321,87;54,59;0,0;0,0
2030-01-01 03:00:00;399,81;0,0;19,61;321,87;58,33;0,0;0,0
2030-01-01 04:00:00;402,89;0,0;19,61;321,87;61,4;0,0;0,0
2030-01-01 05:00:00;405,61;0,0;19,61;321,87;64,12;0,0;0,0
2030-01-01 06:00:00;407,73;0,0;19,61;321,87;66,25;0,0;0,0
2030-01-01 07:00:00;409,8;0,0;19,61;321,87;68,32;0,0;0,0
2030-01-01 08:00:00;411,74;0,0;19,61;321,87;70,25;0,0;0,0
2030-01-01 09:00:00;412,63;0,0;19,61;321,87;71,14;0,0;0,0
2030-01-01 10:00:00;412,42;0,0;19,61;321,87;70,93;0,0;0,0
2030-01-01 11:00:00;410,71;0,0;19,61;321,87;69,23;0,0;0,0
2030-01-01 12:00:00;409,6;0,0;19,61;321,87;68,11;0,0;0,0
2030-01-01 13:00:00;409,85;0,0;19,61;321,87;68,37;0,0;0,0
2030-01-01 14:00:00;411,08;0,0;19,61;321,87;69,6;0,0;0,0
2030-01-01 15:00:00;411,78;0,0;19,61;321,87;70,3;0,0;0,0
2030-01-01 16:00:00;411,27;0,0;19,61;321,87;69,78;0,0;0,0
2030-01-01 17:00:00;411,06;0,0;19,61;321,87;69,58;0,0;0,0
2030-01-01 18:00:00;411,11;0,0;19,61;321,87;69,62;0,0;0,0
2030-01-01 19:00:00;411,14;0,0;19,61;321,87;69,66;0,0;0,0
2030-01-01 20:00:00;411,17;0,0;19,61;321,87;69,69;0,0;0,0
2030-01-01 21:00:00;411,19;0,0;19,61;321,87;69,71;0,0;0,0
2030-01-01 22:00:00;411,21;0,0;19,61;321,87;69,73;0,0;0,0
2030-01-01 23:00:00;411,22;0,0;19,61;321,87;69,74;0,0;0,0
2030-01-02 00:00:00;411,06;0,0;19,61;321,87;69,57;0,0;0,0
2030-01-02 01:00:00;411,04;0,0;19,61;321,87;69,56;0,0;0,0
2030-01-02 02:00:00;410,49;0,0;19,61;321,87;69,01;0,0;0,0
2030-01-02 03:00:00;410,23;0,0;19,61;321,87;68,75;0,0;0,0
2030-01-02 04:00:00;409,97;0,0;19,61;321,87;68,49;0,0;0,0
2030-01-02 05:00:00;409,7;0,0;19,61;321,87;68,22;0,0;0,0
2030-01-02 06:00:00;409,43;0,0;19,61;321,87;67,95;0,0;0,0
2030-01-02 07:00:00;409,45;0,0;19,61;321,87;67,97;0,0;0,0
2030-01-02 08:00:00;409,62;0,0;19,61;321,87;68,14;0,0;0,0
2030-01-02 09:00:00;408,97;0,0;19,61;321,87;67,49;0,0;0,0
2030-01-02 10:00:00;407,59;0,0;19,61;321,87;66,1;0,0;0,0
2030-01-02 11:00:00;405,24;0,0;19,61;321,87;63,76;0,0;0,0
2030-01-02 12:00:00;402,94;0,0;19,61;321,87;61,46;0,0;0,0
2030-01-02 13:00:00;402,25;0,0;19,61;321,87;60,76;0,0;0,0
2030-01-02 14:00:00;402,78;0,0;19,61;321,87;61,3;0,0;0,0
2030-01-02 15:00:00;403,05;0,0;19,61;321,87;61,56;0,0;0,0
2030-01-02 16:00:00;402,0;0,0;19,61;321,87;60,51;0,0;0,0
2030-01-02 17:00:00;402,03;0,0;19,61;321,87;60,55;0,0;0,0
2030-01-02 18:00:00;402,25;0,0;19,61;321,87;60,77;0,0;0,0
2030-01-02 19:00:00;402,73;0,0;19,61;321,87;61,24;0,0;0,0
2030-01-02 20:00:00;403,1;0,0;19,61;321,87;61,62;0,0;0,0
2030-01-02 21:00:00;403,51;0,0;19,61;321,87;62,03;0,0;0,0
2030-01-02 22:00:00;404,14;0,0;19,61;321,87;62,66;0,0;0,0
2030-01-02 23:00:00;404,64;0,0;19,61;321,87;63,15;0,0;0,0
2030-01-03 00:00:00;406,23;0,0;19,61;321,87;64,75;0,0;0,0
2030-01-03 01:00:00;408,16;0,0;19,61;321,87;66,68;0,0;0,0
2030-01-03 02:00:00;410,04;0,0;19,61;321,87;68,56;0,0;0,0
2030-01-03 03:00:00;411,47;0,0;19,61;321,87;69,99;0,0;0,0
2030-01-03 04:00:00;412,91;0,0;19,61;321,87;71,42;0,0;0,0
2030-01-03 05:00:00;414,17;0,0;19,61;321,87;72,68;0,0;0,0
2030-01-03 06:00:00;415,41;0,0;19,61;321,87;73,93;0,0;0,0
2030-01-03 07:00:00;416,76;0,0;19,61;321,87;75,28;0,0;0,0
2030-01-03 08:00:00;417,68;0,0;19,61;321,87;76,2;0,0;0,0
2030-01-03 09:00:00;415,33;0,0;19,61;321,87;73,85;0,0;0,0
2030-01-03 10:00:00;411,3;0,0;19,61;321,87;69,82;0,0;0,0
2030-01-03 11:00:00;406,45;0,0;19,61;321,87;64,97;0,0;0,0
2030-01-03 12:00:00;402,84;0,0;19,61;321,87;61,36;0,0;0,0
2030-01-03 13:00:00;401,51;0,0;19,61;321,87;60,02;0,0;0,0
2030-01-03 14:00:00;402,04;0,0;19,61;321,87;60,56;0,0;0,0
2030-01-03 15:00:00;403,51;0,0;19,61;321,87;62,03;0,0;0,0
2030-01-03 16:00:00;404,7;0,0;19,61;321,87;63,22;0,0;0,0
2030-01-03 17:00:00;405,7;0,0;19,61;321,87;64,22;0,0;0,0
2030-01-03 18:00:00;407,19;0,0;19,61;321,87;65,7;0,0;0,0
2030-01-03 19:00:00;408,72;0,0;19,61;321,87;67,24;0,0;0,0
2030-01-03 20:00:00;410,12;0,0;19,61;321,87;68,64;0,0;0,0
2030-01-03 21:00:00;411,71;0,0;19,61;321,87;70,23;0,0;0,0
2030-01-03 22:00:00;413,16;0,0;19,61;321,87;71,67;0,0;0,0
2030-01-03 23:00:00;414,79;0,0;19,61;321,87;73,31;0,0;0,0
2030-01-04 00:00:00;415,9;0,0;19,61;321,87;74,42;0,0;0,0
2030-01-04 01:00:00;417,15;0,0;19,61;321,87;75,67;0,0;0,0
2030-01-04 02:00:00;418,39;0,0;19,61;321,87;76,9;0,0;0,0
2030-01-04 03:00:00;419,43;0,0;19,61;321,87;77,94;0,0;0,0
2030-01-04 04:00:00;420,44;0,0;19,61;321,87;78,95;0,0;0,0
2030-01-04 05:00:00;421,42;0,0;19,61;321,87;79,94;0,0;0,0
2030-01-04 06:00:00;422,39;0,0;19,61;321,87;80,91;0,0;0,0
2030-01-04 07:00:00;423,64;0,0;19,61;321,87;82,15;0,0;0,0
2030-01-04 08:00:00;424,66;0,0;19,61;321,87;83,18;0,0;0,0
2030-01-04 09:00:00;422,28;0,0;19,61;321,87;80,79;0,0;0,0
2030-01-04 10:00:00;418,99;0,0;19,61;321,87;77,51;0,0;0,0
2030-01-04 11:00:00;414,78;0,0;19,61;321,87;73,3;0,0;0,0
2030-01-04 12:00:00;411,67;0,0;19,61;321,87;70,18;0,0;0,0
2030-01-04 13:00:00;410,69;0,0;19,61;321,87;69,2;0,0;0,0
2030-01-04 14:00:00;411,71;0,0;19,61;321,87;70,22;0,0;0,0
2030-01-04 15:00:00;413,35;0,0;19,61;321,87;71,86;0,0;0,0
2030-01-04 16:00:00;414,69;0,0;19,61;321,87;73,2;0,0;0,0
2030-01-04 17:00:00;414,53;0,0;19,61;321,87;73,05;0,0;0,0
2030-01-04 18:00:00;414,68;0,0;19,61;321,87;73,2;0,0;0,0
2030-01-04 19:00:00;414,75;0,0;19,61;321,87;73,27;0,0;0,0
2030-01-04 20:00:00;414,75;0,0;19,61;321,87;73,26;0,0;0,0
2030-01-04 21:00:00;414,69;0,0;19,61;321,87;73,21;0,0;0,0
2030-01-04 22:00:00;414,59;0,0;19,61;321,87;73,1;0,0;0,0
2030-01-04 23:00:00;414,45;0,0;19,61;321,87;72,96;0,0;0,0
2030-01-05 00:00:00;413,55;0,0;19,61;321,87;72,07;0,0;0,0
2030-01-05 01:00:00;412,37;0,0;19,61;321,87;70,88;0,0;0,0
2030-01-05 02:00:00;411,07;0,0;19,61;321,87;69,59;0,0;0,0
2030-01-05 03:00:00;410,23;0,0;19,61;321,87;68,74;0,0;0,0
2030-01-05 04:00:00;409,2;0,0;19,61;321,87;67,71;0,0;0,0
2030-01-05 05:00:00;408,32;0,0;19,61;321,87;66,83;0,0;0,0
2030-01-05 06:00:00;407,44;0,0;19,61;321,87;65,96;0,0;0,0
2030-01-05 07:00:00;406,56;0,0;19,61;321,87;65,08;0,0;0,0
2030-01-05 08:00:00;405,86;0,0;19,61;321,87;64,38;0,0;0,0
2030-01-05 09:00:00;404,46;0,0;19,61;321,87;62,98;0,0;0,0
2030-01-05 10:00:00;402,27;0,0;19,61;321,87;60,78;0,0;0,0
2030-01-05 11:00:00;399,02;0,0;19,61;321,87;57,54;0,0;0,0
2030-01-05 12:00:00;396,46;0,0;19,61;321,87;54,98;0,0;0,0
2030-01-05 13:00:00;393,98;0,0;19,61;321,87;52,5;0,0;0,0
2030-01-05 14:00:00;392,95;0,0;19,61;321,87;51,47;0,0;0,0
2030-01-05 15:00:00;392,56;0,0;19,61;321,87;51,07;0,0;0,0
2030-01-05 16:00:00;393,68;0,0;19,61;321,87;52,19;0,0;0,0
2030-01-05 17:00:00;392,91;0,0;19,61;321,87;51,42;0,0;0,0
2030-01-05 18:00:00;392,29;0,0;19,61;321,87;50,81;0,0;0,0
2030-01-05 19:00:00;391,87;0,0;19,61;321,87;50,38;0,0;0,0
2030-01-05 20:00:00;391,29;0,0;19,61;321,87;49,8;0,0;0,0
2030-01-05 21:00:00;390,7;0,0;19,61;321,87;49,22;0,0;0,0
2030-01-05 22:00:00;390,12;0,0;19,61;321,87;48,64;0,0;0,0
2030-01-05 23:00:00;389,72;0,0;19,61;321,87;48,23;0,0;0,0
2030-01-06 00:00:00;389,88;0,0;19,61;321,87;48,39;0,0;0,0
2030-01-06 01:00:00;390,3;0,0;19,61;321,87;48,82;0,0;0,0
2030-01-06 02:00:00;390,64;0,0;19,61;321,87;49,15;0,0;0,0
2030-01-06 03:00:00;391,02;0,0;19,61;321,87;49,53;0,0;0,0
2030-01-06 04:00:00;391,26;0,0;19,61;321,87;49,77;0,0;0,0
2030-01-06 05:00:00;391,51;0,0;19,61;321,87;50,02;0,0;0,0
2030-01-06 06:00:00;391,76;0,0;19,61;321,87;50,28;0,0;0,0
2030-01-06 07:00:00;391,85;0,0;19,61;321,87;50,36;0,0;0,0
2030-01-06 08:00:00;391,55;0,0;19,61;321,87;50,07;0,0;0,0
