;('Electricity_e', 'Pumped_hydro_storage_e');('Pumped_hydro_storage_e', 'Electricity_e');('Pumped_hydro_storage_e', 'None')
;flow;flow;storage_content
2030-01-01 00:00:00;0,0;77,68;1054,9
2030-01-01 01:00:00;0,0;0,0;1054,9
2030-01-01 02:00:00;0,0;0,0;1054,9
2030-01-01 03:00:00;0,0;0,0;1054,9
2030-01-01 04:00:00;0,0;0,0;1054,9
2030-01-01 05:00:00;0,0;13,61;1037,89
2030-01-01 06:00:00;0,0;165,5;831,01
2030-01-01 07:00:00;0,0;0,0;831,01
2030-01-01 08:00:00;0,0;0,0;831,01
2030-01-01 09:00:00;0,0;0,0;831,01
2030-01-01 10:00:00;0,0;0,0;831,01
2030-01-01 11:00:00;0,0;0,0;831,01
2030-01-01 12:00:00;0,0;0,0;831,01
2030-01-01 13:00:00;9,75;0,0;840,76
2030-01-01 14:00:00;56,5;0,0;897,26
2030-01-01 15:00:00;288,0;0,0;1185,26
2030-01-01 16:00:00;0,0;0,0;1185,26
2030-01-01 17:00:00;10,6;0,0;1195,87
2030-01-01 18:00:00;0,0;0,0;1195,87
2030-01-01 19:00:00;0,0;0,0;1195,87
2030-01-01 20:00:00;0,0;0,0;1195,87
2030-01-01 21:00:00;0,0;41,27;1144,28
2030-01-01 22:00:00;0,0;93,83;1026,99
2030-01-01 23:00:00;0,0;130,39;864,0
2030-01-02 00:00:00;0,0;0,0;864,0
2030-01-02 01:00:00;0,0;0,0;864,0
2030-01-02 02:00:00;288,0;0,0;1152,0
2030-01-02 03:00:00;288,0;0,0;1440,0
2030-01-02 04:00:00;288,0;0,0;1728,0
2030-01-02 05:00:00;288,0;0,0;2016,0
2030-01-02 06:00:00;288,0;0,0;2304,0
2030-01-02 07:00:00;0,0;0,0;2304,0
2030-01-02 08:00:00;0,0;0,0;2304,0
2030-01-02 09:00:00;0,0;0,0;2304,0
2030-01-02 10:00:00;0,0;0,0;2304,0
2030-01-02 11:00:00;0,0;0,0;2304,0
2030-01-02 12:00:00;0,0;0,0;2304,0
2030-01-02 13:00:00;0,0;0,0;2304,0
2030-01-02 14:00:00;0,0;0,0;2304,0
2030-01-02 15:00:00;0,0;0,0;2304,0
2030-01-02 16:00:00;0,0;0,0;2304,0
