;('Electricity_m', 'Pumped_hydro_storage_m');('Pumped_hydro_storage_m', 'Electricity_m');('Pumped_hydro_storage_m', 'None')
;flow;flow;storage_content
2030-01-01 00:00:00;0,0;0,0;1152,0
2030-01-01 01:00:00;0,0;0,0;1152,0
2030-01-01 02:00:00;0,0;0,0;1152,0
2030-01-01 03:00:00;0,0;0,0;1152,0
2030-01-01 04:00:00;0,0;0,0;1152,0
2030-01-01 05:00:00;0,0;0,0;1152,0
2030-01-01 06:00:00;0,0;0,0;1152,0
2030-01-01 07:00:00;0,0;0,0;1152,0
2030-01-01 08:00:00;0,0;0,0;1152,0
2030-01-01 09:00:00;0,0;0,0;1152,0
2030-01-01 10:00:00;0,0;0,0;1152,0
2030-01-01 11:00:00;0,0;0,0;1152,0
2030-01-01 12:00:00;0,0;0,0;1152,0
2030-01-01 13:00:00;12,75;0,0;1164,75
2030-01-01 14:00:00;0,0;0,0;1164,75
2030-01-01 15:00:00;148,25;0,0;1313,0
2030-01-01 16:00:00;0,0;0,0;1313,0
2030-01-01 17:00:00;0,0;0,0;1313,0
2030-01-01 18:00:00;0,0;54,76;1244,55
2030-01-01 19:00:00;0,0;0,0;1244,55
2030-01-01 20:00:00;0,0;0,0;1244,55
2030-01-01 21:00:00;0,0;68,32;1159,15
2030-01-01 22:00:00;0,0;112,84;1018,1
2030-01-01 23:00:00;0,0;0,0;1018,1
2030-01-02 00:00:00;0,0;0,0;1018,1
2030-01-02 01:00:00;31,52;0,0;1049,62
2030-01-02 02:00:00;288,0;0,0;1337,62
2030-01-02 03:00:00;210,82;0,0;1548,44
2030-01-02 04:00:00;288,0;0,0;1836,44
2030-01-02 05:00:00;288,0;0,0;2124,44
2030-01-02 06:00:00;179,56;0,0;2304,0
2030-01-02 07:00:00;0,0;0,0;2304,0
2030-01-02 08:00:00;0,0;0,0;2304,0
2030-01-02 09:00:00;0,0;0,0;2304,0
2030-01-02 10:00:00;0,0;0,0;2304,0
2030-01-02 11:00:00;0,0;0,0;2304,0
2030-01-02 12:00:00;0,0;0,0;2304,0
2030-01-02 13:00:00;0,0;0,0;2304,0
2030-01-02 14:00:00;0,0;0,0;2304,0
2030-01-02 15:00:00;0,0;0,0;2304,0
2030-01-02 16:00:00;0,0;0,0;2304,0
2030-01-02 17:00:00;0,0;0,0;2304,0
2030-01-02 18:00:00;0,0;0,0;2304,0
2030-01-02 19:00:00;0,0;199,75;2054,32
2030-01-02 20:00:00;0,0;0,0;2054,32
2030-01-02 21:00:00;0,0;0,0;2054,32
2030-01-02 22:00:00;0,0;0,0;2054,32
2030-01-02 23:00:00;0,0;0,0;2054,32
2030-01-03 00:00:00;0,0;0,0;2054,32
2030-01-03 01:00:00;0,0;0,0;2054,32
2030-01-03 02:00:00;0,0;0,0;2054,32
2030-01-03 03:00:00;249,68;0,0;2304,0
2030-01-03 04:00:00;0,0;0,0;2304,0
2030-01-03 05:00:00;0,0;0,0;2304,0
2030-01-03 06:00:00;0,0;0,0;2304,0
2030-01-03 07:00:00;0,0;0,0;2304,0
2030-01-03 08:00:00;0,0;288,0;1944,0
2030-01-03 09:00:00;0,0;288,0;1584,0
2030-01-03 10:00:00;0,0;0,0;1584,0
2030-01-03 11:00:00;0,0;0,0;1584,0
2030-01-03 12:00:00;0,0;272,46;1243,43
2030-01-03 13:00:00;0,0;288,0;883,43
2030-01-03 14:00:00;0,0;0,0;883,43
2030-01-03 15:00:00;0,0;288,0;523,43
2030-01-03 16:00:00;0,0;288,0;163,43
2030-01-03 17:00:00;155,24;0,0;318,67
2030-01-03 18:00:00;78,66;0,0;397,33
2030-01-03 19:00:00;0,0;0,0;397,33
2030-01-03 20:00:00;0,0;0,0;397,33
2030-01-03 21:00:00;28,35;0,0;425,68
2030-01-03 22:00:00;16,46;0,0;442,14
2030-01-03 23:00:00;133,86;0,0;576,0
2030-01-04 00:00:00;288,0;0,0;864,0
2030-01-04 01:00:00;288,0;0,0;1152,0
2030-01-04 02:00:00;288,0;0,0;1440,0
2030-01-04 03:00:00;288,0;0,0;1728,0
2030-01-04 04:00:00;288,0;0,0;2016,0
2030-01-04 05:00:00;288,0;0,0;2304,0
2030-01-04 06:00:00;0,0;0,0;2304,0
2030-01-04 07:00:00;0,0;0,0;2304,0
2030-01-04 08:00:00;0,0;288,0;1944,0
2030-01-04 09:00:00;0,0;288,0;1584,0
2030-01-04 10:00:00;0,0;0,0;1584,0
2030-01-04 11:00:00;0,0;0,0;1584,0
2030-01-04 12:00:00;0,0;0,0;1584,0
2030-01-04 13:00:00;0,0;0,0;1584,0
2030-01-04 14:00:00;0,0;0,0;1584,0
2030-01-04 15:00:00;0,0;0,0;1584,0
2030-01-04 16:00:00;0,0;288,0;1224,0
2030-01-04 17:00:00;0,0;288,0;864,0
2030-01-04 18:00:00;0,0;288,0;504,0
2030-01-04 19:00:00;0,0;288,0;144,0
2030-01-04 20:00:00;0,0;0,0;144,0
2030-01-04 21:00:00;0,0;0,0;144,0
2030-01-04 22:00:00;0,0;0,0;144,0
2030-01-04 23:00:00;144,0;0,0;288,0
2030-01-05 00:00:00;288,0;0,0;576,0
2030-01-05 01:00:00;288,0;0,0;864,0
2030-01-05 02:00:00;288,0;0,0;1152,0
2030-01-05 03:00:00;288,0;0,0;1440,0
2030-01-05 04:00:00;288,0;0,0;1728,0
2030-01-05 05:00:00;288,0;0,0;2016,0
2030-01-05 06:00:00;288,0;0,0;2304,0
2030-01-05 07:00:00;0,0;0,0;2304,0
2030-01-05 08:00:00;0,0;288,0;1944,0
2030-01-05 09:00:00;0,0;288,0;1584,0
2030-01-05 10:00:00;0,0;288,0;1224,0
2030-01-05 11:00:00;0,0;288,0;864,0
2030-01-05 12:00:00;0,0;288,0;504,0
2030-01-05 13:00:00;0,0;144,0;324,0
2030-01-05 14:00:00;0,0;0,0;324,0
2030-01-05 15:00:00;0,0;0,0;324,0
2030-01-05 16:00:00;0,0;259,2;0,0
2030-01-05 17:00:00;0,0;0,0;0,0
2030-01-05 18:00:00;0,0;0,0;0,0
2030-01-05 19:00:00;0,0;0,0;0,0
2030-01-05 20:00:00;0,0;0,0;0,0
2030-01-05 21:00:00;0,0;0,0;0,0
2030-01-05 22:00:00;0,0;0,0;0,0
2030-01-05 23:00:00;288,0;0,0;288,0
2030-01-06 00:00:00;288,0;0,0;576,0
2030-01-06 01:00:00;288,0;0,0;864,0
2030-01-06 02:00:00;288,0;0,0;1152,0
2030-01-06 03:00:00;288,0;0,0;1440,0
2030-01-06 04:00:00;288,0;0,0;1728,0
2030-01-06 05:00:00;288,0;0,0;2016,0
2030-01-06 06:00:00;288,0;0,0;2304,0
2030-01-06 07:00:00;0,0;0,0;2304,0
