;('Electricity_n', 'Pumped_hydro_storage_n');('Pumped_hydro_storage_n', 'Electricity_n');('Pumped_hydro_storage_n', 'None')
;flow;flow;storage_content
2030-01-01 00:00:00;0,0;0,0;1152,0
2030-01-01 01:00:00;0,0;0,0;1152,0
2030-01-01 02:00:00;0,0;0,0;1152,0
2030-01-01 03:00:00;0,0;0,0;1152,0
2030-01-01 04:00:00;0,0;0,0;1152,0
2030-01-01 05:00:00;0,0;0,0;1152,0
2030-01-01 06:00:00;0,0;0,0;1152,0
2030-01-01 07:00:00;0,0;0,0;1152,0
2030-01-01 08:00:00;0,0;88,23;1041,71
2030-01-01 09:00:00;135,09;0,0;1176,8
2030-01-01 10:00:00;0,0;0,0;1176,8
2030-01-01 11:00:00;0,0;6,86;1168,22
2030-01-01 12:00:00;0,0;0,0;1168,22
2030-01-01 13:00:00;19,03;0,0;1187,25
2030-01-01 14:00:00;143,49;0,0;1330,74
2030-01-01 15:00:00;193,28;0,0;1524,02
2030-01-01 16:00:00;0,0;0,0;1524,02
2030-01-01 17:00:00;0,0;0,0;1524,02
2030-01-01 18:00:00;0,0;0,0;1524,02
2030-01-01 19:00:00;0,0;14,35;1506,08
2030-01-01 20:00:00;0,0;0,0;1506,08
2030-01-01 21:00:00;0,0;107,25;1372,01
2030-01-01 22:00:00;0,0;155,56;1177,56
2030-01-01 23:00:00;0,0;0,0;1177,56
2030-01-02 00:00:00;0,0;0,0;1177,56
2030-01-02 01:00:00;89,38;0,0;1266,94
2030-01-02 02:00:00;190,98;0,0;1457,92
2030-01-02 03:00:00;168,78;0,0;1626,7
2030-01-02 04:00:00;288,0;0,0;1914,7
2030-01-02 05:00:00;152,95;0,0;2067,65
2030-01-02 06:00:00;236,35;0,0;2304,0
2030-01-02 07:00:00;0,0;0,0;2304,0
2030-01-02 08:00:00;0,0;44,0;2249,01
2030-01-02 09:00:00;0,0;32,0;2209,01
2030-01-02 10:00:00;0,0;0,0;2209,01
2030-01-02 11:00:00;0,0;47,23;2149,98
2030-01-02 12:00:00;0,0;0,0;2149,98
2030-01-02 13:00:00;154,02;0,0;2304,0
2030-01-02 14:00:00;0,0;0,0;2304,0
2030-01-02 15:00:00;0,0;0,0;2304,0
2030-01-02 16:00:00;0,0;0,0;2304,0
2030-01-02 17:00:00;0,0;0,0;2304,0
2030-01-02 18:00:00;0,0;0,0;2304,0
2030-01-02 19:00:00;0,0;205,8;2046,75
2030-01-02 20:00:00;0,0;0,0;2046,75
2030-01-02 21:00:00;0,0;0,0;2046,75
2030-01-02 22:00:00;0,0;0,0;2046,75
2030-01-02 23:00:00;0,0;0,0;2046,75
2030-01-03 00:00:00;0,0;0,0;2046,75
2030-01-03 01:00:00;0,0;0,0;2046,75
2030-01-03 02:00:00;0,0;0,0;2046,75
2030-01-03 03:00:00;257,25;0,0;2304,0
2030-01-03 04:00:00;0,0;0,0;2304,0
2030-01-03 05:00:00;0,0;0,0;2304,0
2030-01-03 06:00:00;0,0;0,0;2304,0
2030-01-03 07:00:00;0,0;0,0;2304,0
2030-01-03 08:00:00;0,0;288,0;1944,0
2030-01-03 09:00:00;0,0;288,0;1584,0
2030-01-03 10:00:00;0,0;0,0;1584,0
2030-01-03 11:00:00;0,0;209,66;1321,93
2030-01-03 12:00:00;0,0;288,0;961,93
2030-01-03 13:00:00;0,0;288,0;601,93
2030-01-03 14:00:00;0,0;0,0;601,93
2030-01-03 15:00:00;0,0;288,0;241,93
2030-01-03 16:00:00;0,0;179,83;17,14
2030-01-03 17:00:00;160,06;0,0;177,2
2030-01-03 18:00:00;212,93;0,0;390,13
2030-01-03 19:00:00;0,0;57,6;318,14
2030-01-03 20:00:00;0,0;0,0;318,14
2030-01-03 21:00:00;54,85;0,0;372,99
2030-01-03 22:00:00;38,71;0,0;411,7
2030-01-03 23:00:00;106,32;0,0;518,02
2030-01-04 00:00:00;288,0;0,0;806,02
2030-01-04 01:00:00;288,0;0,0;1094,02
2030-01-04 02:00:00;288,0;0,0;1382,02
2030-01-04 03:00:00;288,0;0,0;1670,02
2030-01-04 04:00:00;288,0;0,0;1958,02
2030-01-04 05:00:00;288,0;0,0;2246,02
2030-01-04 06:00:00;0,0;0,0;2246,02
2030-01-04 07:00:00;0,0;0,0;2246,02
2030-01-04 08:00:00;0,0;282,21;1893,25
2030-01-04 09:00:00;0,0;288,0;1533,25
2030-01-04 10:00:00;0,0;0,0;1533,25
2030-01-04 11:00:00;0,0;0,0;1533,25
2030-01-04 12:00:00;0,0;0,0;1533,25
2030-01-04 13:00:00;0,0;0,0;1533,25
2030-01-04 14:00:00;0,0;0,0;1533,25
2030-01-04 15:00:00;0,0;0,0;1533,25
2030-01-04 16:00:00;0,0;288,0;1173,25
2030-01-04 17:00:00;0,0;271,5;833,87
2030-01-04 18:00:00;0,0;246,88;525,27
2030-01-04 19:00:00;0,0;221,53;248,36
2030-01-04 20:00:00;0,0;0,0;248,36
2030-01-04 21:00:00;0,0;0,0;248,36
2030-01-04 22:00:00;0,0;0,0;248,36
2030-01-04 23:00:00;0,0;0,0;248,36
2030-01-05 00:00:00;288,0;0,0;536,36
2030-01-05 01:00:00;288,0;0,0;824,36
2030-01-05 02:00:00;288,0;0,0;1112,36
2030-01-05 03:00:00;288,0;0,0;1400,36
2030-01-05 04:00:00;288,0;0,0;1688,36
2030-01-05 05:00:00;288,0;0,0;1976,36
2030-01-05 06:00:00;288,0;0,0;2264,36
2030-01-05 07:00:00;39,64;0,0;2304,0
2030-01-05 08:00:00;0,0;126,17;2146,28
2030-01-05 09:00:00;0,0;246,82;1837,76
2030-01-05 10:00:00;0,0;288,0;1477,76
2030-01-05 11:00:00;0,0;288,0;1117,76
2030-01-05 12:00:00;0,0;277,85;770,44
2030-01-05 13:00:00;0,0;203,11;516,56
2030-01-05 14:00:00;0,0;122,78;363,08
2030-01-05 15:00:00;0,0;221,6;86,08
2030-01-05 16:00:00;0,0;68,86;0,0
2030-01-05 17:00:00;98,62;0,0;98,62
2030-01-05 18:00:00;0,0;0,0;98,62
2030-01-05 19:00:00;0,0;78,9;0,0
2030-01-05 20:00:00;0,0;0,0;0,0
2030-01-05 21:00:00;0,0;0,0;0,0
2030-01-05 22:00:00;0,0;0,0;0,0
2030-01-05 23:00:00;196,92;0,0;196,92
2030-01-06 00:00:00;288,0;0,0;484,92
2030-01-06 01:00:00;288,0;0,0;772,92
2030-01-06 02:00:00;288,0;0,0;1060,92
2030-01-06 03:00:00;288,0;0,0;1348,92
2030-01-06 04:00:00;288,0;0,0;1636,92
2030-01-06 05:00:00;288,0;0,0;1924,92
2030-01-06 06:00:00;288,0;0,0;2212,92
2030-01-06 07:00:00;0,0;0,0;2212,92
