;('BioTransformer_s', 'Solidfuel_s');('Import_brown_coal_s', 'Solidfuel_s');('Import_hard_coal_s', 'Solidfuel_s');('Solidfuel_s', 'Biomass_demand_total_s')
;flow;flow;flow;flow
2030-01-01 00:00:00;77,72;0,0;0,0;77,72
2030-01-01 01:00:00;87,73;0,0;0,0;87,73
2030-01-01 02:00:00;96,34;0,0;0,0;96,34
2030-01-01 03:00:00;102,94;0,0;0,0;102,94
2030-01-01 04:00:00;108,36;0,0;0,0;108,36
2030-01-01 05:00:00;113,16;0,0;0,0;113,16
2030-01-01 06:00:00;116,91;0,0;0,0;116,91
2030-01-01 07:00:00;120,56;0,0;0,0;120,56
2030-01-01 08:00:00;123,98;0,0;0,0;123,98
2030-01-01 09:00:00;125,55;0,0;0,0;125,55
2030-01-01 10:00:00;125,17;0,0;0,0;125,17
2030-01-01 11:00:00;122,17;0,0;0,0;122,17
2030-01-01 12:00:00;120,2;0,0;0,0;120,2
2030-01-01 13:00:00;120,65;0,0;0,0;120,65
2030-01-01 14:00:00;122,82;0,0;0,0;122,82
2030-01-01 15:00:00;124,05;0,0;0,0;124,05
2030-01-01 16:00:00;123,15;0,0;0,0;123,15
2030-01-01 17:00:00;122,78;0,0;0,0;122,78
2030-01-01 18:00:00;122,86;0,0;0,0;122,86
2030-01-01 19:00:00;122,92;0,0;0,0;122,92
2030-01-01 20:00:00;122,97;0,0;0,0;122,97
2030-01-01 21:00:00;123,01;0,0;0,0;123,01
2030-01-01 22:00:00;123,05;0,0;0,0;123,05
2030-01-01 23:00:00;123,07;0,0;0,0;123,07
2030-01-02 00:00:00;122,77;0,0;0,0;122,77
2030-01-02 01:00:00;122,75;0,0;0,0;122,75
2030-01-02 02:00:00;121,77;0,0;0,0;121,77
2030-01-02 03:00:00;121,32;0,0;0,0;121,32
2030-01-02 04:00:00;120,86;0,0;0,0;120,86
2030-01-02 05:00:00;120,39;0,0;0,0;120,39
2030-01-02 06:00:00;119,91;0,0;0,0;119,91
2030-01-02 07:00:00;119,95;0,0;0,0;119,95
2030-01-02 08:00:00;120,24;0,0;0,0;120,24
2030-01-02 09:00:00;119,1;0,0;0,0;119,1
2030-01-02 10:00:00;116,65;0,0;0,0;116,65
2030-01-02 11:00:00;112,51;0,0;0,0;112,51
2030-01-02 12:00:00;108,45;0,0;0,0;108,45
2030-01-02 13:00:00;107,23;0,0;0,0;107,23
2030-01-02 14:00:00;108,18;0,0;0,0;108,18
2030-01-02 15:00:00;108,64;0,0;0,0;108,64
2030-01-02 16:00:00;106,79;0,0;0,0;106,79
2030-01-02 17:00:00;106,85;0,0;0,0;106,85
2030-01-02 18:00:00;107,24;0,0;0,0;107,24
2030-01-02 19:00:00;108,08;0,0;0,0;108,08
2030-01-02 20:00:00;108,73;0,0;0,0;108,73
2030-01-02 21:00:00;109,46;0,0;0,0;109,46
2030-01-02 22:00:00;110,57;0,0;0,0;110,57
2030-01-02 23:00:00;111,44;0,0;0,0;111,44
2030-01-03 00:00:00;114,27;0,0;0,0;114,27
2030-01-03 01:00:00;117,66;0,0;0,0;117,66
2030-01-03 02:00:00;120,99;0,0;0,0;120,99
2030-01-03 03:00:00;123,51;0,0;0,0;123,51
2030-01-03 04:00:00;126,04;0,0;0,0;126,04
2030-01-03 05:00:00;128,27;0,0;0,0;128,27
2030-01-03 06:00:00;130,46;0,0;0,0;130,46
2030-01-03 07:00:00;132,84;0,0;0,0;132,84
2030-01-03 08:00:00;134,47;0,0;0,0;134,47
2030-01-03 09:00:00;130,32;0,0;0,0;130,32
2030-01-03 10:00:00;123,2;0,0;0,0;123,2
2030-01-03 11:00:00;114,65;0,0;0,0;114,65
2030-01-03 12:00:00;108,28;0,0;0,0;108,28
2030-01-03 13:00:00;105,93;0,0;0,0;105,93
2030-01-03 14:00:00;106,87;0,0;0,0;106,87
2030-01-03 15:00:00;109,46;0,0;0,0;109,46
2030-01-03 16:00:00;111,56;0,0;0,0;111,56
2030-01-03 17:00:00;113,33;0,0;0,0;113,33
2030-01-03 18:00:00;115,94;0,0;0,0;115,94
2030-01-03 19:00:00;118,66;0,0;0,0;118,66
2030-01-03 20:00:00;121,12;0,0;0,0;121,12
2030-01-03 21:00:00;123,94;0,0;0,0;123,94
2030-01-03 22:00:00;126,48;0,0;0,0;126,48
2030-01-03 23:00:00;129,36;0,0;0,0;129,36
2030-01-04 00:00:00;131,33;0,0;0,0;131,33
2030-01-04 01:00:00;133,53;0,0;0,0;133,53
2030-01-04 02:00:00;135,71;0,0;0,0;135,71
2030-01-04 03:00:00;137,55;0,0;0,0;137,55
2030-01-04 04:00:00;139,33;0,0;0,0;139,33
2030-01-04 05:00:00;141,07;0,0;0,0;141,07
2030-01-04 06:00:00;142,78;0,0;0,0;142,78
2030-01-04 07:00:00;144,98;0,0;0,0;144,98
2030-01-04 08:00:00;146,78;0,0;0,0;146,78
2030-01-04 09:00:00;142,57;0,0;0,0;142,57
2030-01-04 10:00:00;136,78;0,0;0,0;136,78
2030-01-04 11:00:00;129,35;0,0;0,0;129,35
2030-01-04 12:00:00;123,85;0,0;0,0;123,85
2030-01-04 13:00:00;122,12;0,0;0,0;122,12
2030-01-04 14:00:00;123,92;0,0;0,0;123,92
2030-01-04 15:00:00;126,82;0,0;0,0;126,82
2030-01-04 16:00:00;129,18;0,0;0,0;129,18
2030-01-04 17:00:00;128,9;0,0;0,0;128,9
2030-01-04 18:00:00;129,17;0,0;0,0;129,17
2030-01-04 19:00:00;129,29;0,0;0,0;129,29
2030-01-04 20:00:00;129,29;0,0;0,0;129,29
2030-01-04 21:00:00;129,19;0,0;0,0;129,19
2030-01-04 22:00:00;129,01;0,0;0,0;129,01
2030-01-04 23:00:00;128,76;0,0;0,0;128,76
2030-01-05 00:00:00;127,18;0,0;0,0;127,18
2030-01-05 01:00:00;125,09;0,0;0,0;125,09
2030-01-05 02:00:00;122,8;0,0;0,0;122,8
2030-01-05 03:00:00;121,31;0,0;0,0;121,31
2030-01-05 04:00:00;119,49;0,0;0,0;119,49
2030-01-05 05:00:00;117,94;0,0;0,0;117,94
2030-01-05 06:00:00;116,39;0,0;0,0;116,39
2030-01-05 07:00:00;114,84;0,0;0,0;114,84
2030-01-05 08:00:00;113,61;0,0;0,0;113,61
2030-01-05 09:00:00;111,14;0,0;0,0;111,14
2030-01-05 10:00:00;107,27;0,0;0,0;107,27
2030-01-05 11:00:00;101,54;0,0;0,0;101,54
2030-01-05 12:00:00;97,02;0,0;0,0;97,02
2030-01-05 13:00:00;92,64;0,0;0,0;92,64
2030-01-05 14:00:00;90,83;0,0;0,0;90,83
2030-01-05 15:00:00;90,13;0,0;0,0;90,13
2030-01-05 16:00:00;92,11;0,0;0,0;92,11
2030-01-05 17:00:00;90,75;0,0;0,0;90,75
2030-01-05 18:00:00;89,67;0,0;0,0;89,67
2030-01-05 19:00:00;88,91;0,0;0,0;88,91
2030-01-05 20:00:00;87,89;0,0;0,0;87,89
2030-01-05 21:00:00;86,86;0,0;0,0;86,86
2030-01-05 22:00:00;85,83;0,0;0,0;85,83
2030-01-05 23:00:00;85,12;0,0;0,0;85,12
2030-01-06 00:00:00;85,4;0,0;0,0;85,4
2030-01-06 01:00:00;86,15;0,0;0,0;86,15
2030-01-06 02:00:00;86,74;0,0;0,0;86,74
2030-01-06 03:00:00;87,41;0,0;0,0;87,41
2030-01-06 04:00:00;87,83;0,0;0,0;87,83
2030-01-06 05:00:00;88,27;0,0;0,0;88,27
2030-01-06 06:00:00;88,73;0,0;0,0;88,73
2030-01-06 07:00:00;88,88;0,0;0,0;88,88
2030-01-06 08:00:00;88,36;0,0;0,0;88,36
2030-01-06 09:00:00;81,21;0,0;0,0;81,21
2030-01-06 10:00:00;74,0;0,0;0,0;74,0
2030-01-06 11:00:00;66,71;0,0;0,0;66,71
2030-01-06 12:00:00;61,06;0,0;0,0;61,06
2030-01-06 13:00:00;57,25;0,0;0,0;57,25
2030-01-06 14:00:00;55,97;0,0;0,0;55,97
2030-01-06 15:00:00;57,9;0,0;0,0;57,9
2030-01-06 16:00:00;61,98;0,0;0,0;61,98
2030-01-06 17:00:00;63,24;0,0;0,0;63,24
2030-01-06 18:00:00;64,89;0,0;0,0;64,89
